,Li,Al,Si,Sc,Cr,Mn,Fe,Co ,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
CRESS_013H_AMD,<25,<155,<350,<6.8,<9,3.392,43.662,0.506,2.116,18.478,11.677,60.305,0.666,1.491,685.338,0.291,0.643,0.127,0.647,0.293,0.021,0.106,0.008,0.179,0.03,0.071,0.004,0.065,0.008
CRESS_016H_AMD,<25,<155,<350,<6.8,<9,5.08,11.183,<0.425,2.181,36.124,14.528,35.957,0.605,1.803,500.604,0.591,0.463,0.169,0.705,0.308,0.057,0.207,0.051,0.093,0.031,0.101,0.008,0.034,0.008
CRESS_019H_AMD,<25,<155,995.705,<6.8,<9,39.008,<5.6,<0.425,<1.6,33.96,11.249,50.652,0,1.143,112.567,0.014,0.045,0.006,0.068,0.039,0,0,0,0,0,0.064,0,0.015,0
CRESS_125H_AMD,<25,500.486,<350,<6.8,54.666,<1.3,6.229,<0.425,<1.6,37.499,9.407,241.967,0.7,3.45,1.265,0.024,0.012,0.014,0,0,0,0.022,0.004,0.018,0,<0.062,0.004,0,0
CRESS_126H_AMD,<25,219.718,680.411,<6.8,88.708,<1.3,<5.6,<0.425,<1.6,37.735,10.639,183.697,0.787,11.905,1.412,0.016,0.006,0,0.114,0,0.012,0.048,0,0.038,0,<0.062,0,0.051,0
CRESS_127H_AMD,<25,280.768,407.791,<6.8,92.137,<1.3,<5.6,<0.425,<1.6,37.595,9.955,241.563,1.258,8.234,1.141,0.046,0,0.007,0.038,0,0,0.044,0.008,0.038,0.009,<0.062,0.02,0.05,0.024
Blank_I,<5,<30,<70,<1.356,<1.803,1.094,10.359,<0.085,0.832,20.585,8.656,0.511,0.006,0.227,8.042,0.008,0.016,0.002,0.008,0.01,0.002,0.004,0.002,0,0.002,<0.012,0.001,0.003,0
CRESS_004I_AMD,<25,<155,428.748,<6.8,<9,1708.35,657.954,3.02,<1.6,23.845,40.945,10.066,0.372,<0.21,110.092,0.161,0.402,0.075,0.38,0,0.022,0.153,0.021,0.057,0.027,<0.062,0.012,0.017,0.008
CRESS_007I_AMD,<25,<155,515.464,<6.8,<9,30390.311,858.481,101.923,20.058,16.729,56.234,8.057,0.16,1.564,399.898,0.318,1.223,0.055,0.192,0,0,0.044,0.004,0,0,<0.062,0,0,0.008
CRESS_010I_AMD,<25,170.9,<350,<6.8,13.428,721.222,95.113,2.439,162.656,36.999,53.769,16.031,0.692,1.993,59.535,0.426,1.202,0.109,0.545,0.166,0.053,0.082,0.015,0.038,0.03,<0.062,0.02,0.052,0
CRESS_013I_AMD,<25,225.834,<350,<6.8,<9,379.484,868.146,2.663,4.241,20.294,16.823,17.479,0.937,0.351,162.956,0.442,1.002,0.159,0.844,0.13,0.066,0.201,0.009,0.172,0.045,0.157,0.012,0.07,0
CRESS_016I_AMD,<25,<155,<350,<6.8,<9,7096.308,213.608,1.111,<1.6,33.914,33.129,9.989,0.53,0.474,147.636,0.247,0.473,0.089,0.455,0.043,0.022,0.132,0.013,0.038,0.018,<0.062,0,0,0
CRESS_019I_AMD,<25,<155,855.954,<6.8,<9,5212.231,17.165,17.697,12.175,43.82,16.699,423.634,1.596,0.667,516.644,1.6,2.025,0.31,1.639,0.25,0.022,0.218,0.067,0.151,0.047,<0.062,0.02,0.308,0.018
CRESS_125I_AMD,38.778,<155,42400.994,<6.8,<9,2997.456,19.8,6.469,19.414,32.442,27.684,1496.921,22.275,<0.21,34.254,4.977,8.138,0.801,4.366,1.038,0.262,1.418,0.153,1.071,0.208,0.519,0.081,0.402,0.05
CRESS_126I_AMD,80.667,<155,38010.226,<6.8,<9,6562.384,9.701,13.852,24.304,66.95,140.569,2249.384,30.173,<0.21,45.693,2.88,6.018,0.607,3.888,0.432,0.229,1.417,0.187,1.134,0.241,0.885,0.077,0.385,0.076
CRESS_127I_AMD,<25,<155,22115.32,<6.8,<9,4611.34,26.741,11.431,21.61,41.944,78.692,2177.768,12.778,<0.21,34.771,1.957,2.85,0.422,2.079,0.519,0.055,0.753,0.072,0.397,0.147,0.41,0.04,0.311,0.05
Blank_J,186.288,54.93,1167.608,<1.4,19.445,6.229,139.261,0.434,21.001,63.177,254.962,5.186,0.015,1.204,3.524,0.027,0.032,0.006,0.015,0,0.002,0,0.002,0.004,0.001,<0.012,0,0.007,0.003
CRESS_004J_AMD,131.11,7740.021,2427.139,16.658,19.069,1340.675,32532.18,15.085,44.621,79.177,307.899,15.668,89.765,1.801,186.566,78.562,193.781,23.327,112.724,24.802,6.352,24.597,3.447,18.665,3.355,8.129,1.072,6.263,0.759
CRESS_007J_AMD,154.269,12782.47,2311.226,27.32,19.299,11293.321,29159.987,77.617,97.229,194.265,375.568,12.188,163.491,11.158,338.078,179.244,627.829,51.263,219.514,46.667,9.369,41.748,5.645,34.187,6.161,16.021,1.841,11.274,1.707
CRESS_010J_AMD,115.581,3998.098,1918.638,<6.8,15.408,933.278,3181.442,11.856,47.424,153.412,367.605,15.465,51.241,2.049,111.572,53.424,124.549,14.048,55.375,11.775,2.256,11.421,1.684,10.048,1.94,4.845,0.661,3.269,0.545
CRESS_013J_AMD,84.675,17715.38,4057.392,54.28,86.089,1529.884,83976.142,29.216,168.094,281.674,269.927,15.356,142.372,2.461,435.232,129.696,280.283,35.105,149.695,31.944,8.236,31.875,4.63,28.79,5.181,14.103,1.867,11.074,1.822
CRESS_016J_AMD,134.168,17953.483,1980.355,28.684,23.65,8096.738,38393.771,16.954,144.995,117.275,599.18,7.899,303.023,3.907,364.844,273.854,516.734,69.956,302.455,64.524,14.844,66.037,9.515,55.99,10.362,26.334,3.332,18.871,2.738
CRESS_019J_AMD,88.682,2502.574,2539.311,<6.780,17.948,1071.122,731.005,16.952,54.537,441.774,256.206,4.367,88.656,2.906,45.659,39.026,77.45,10.36,44.714,9.502,2.303,11.985,2.173,14.351,2.78,8.934,1.156,7.574,1.104
CRESS_125J_AMD,46.167,111968.76,11204.64,65.521,71.682,4386.125,846.812,45.76,111.118,742.683,462.575,76.736,2748.678,1.824,1.945,196.106,271.112,62.137,335.6,81.351,24.558,139.766,28.916,235.755,53.444,149.41,18.891,110.353,16.257
CRESS_126J_AMD,<25,69384.455,5801.955,16.025,22.955,4294.86,135.135,78.325,156.881,3259.424,1436.44,70.776,3651.829,5.873,0.905,105.412,118.274,37.555,213.218,58.77,18.32,117.12,25.977,235.595,62.471,201.966,27.667,167.725,26.559
CRESS_127J_AMD,<25,47875.642,6312.328,22.966,34.434,4042.133,123.882,75.835,178.63,3000.288,1087.759,87.242,3378.106,2.893,1.25,103.885,113.91,36.037,200.653,53.632,16.294,97.338,23.147,219.434,58.081,188.197,25.808,165.526,27.351
Blank_K,177.814,<30,<70,<1.4,18.712,7.554,189.816,0.449,24.549,35.071,597.419,5.171,0.016,1.468,6.644,0.018,0.045,0.004,0,0.009,0,0,0.001,0,0.002,<0.012,0.002,0.004,0.008
CRESS_004K_AMD,162.831,12452.792,5814.196,7.127,37.246,458.11,61825.454,27.597,33.834,127.028,634.312,14.246,12.964,5.027,108.992,17.089,33.699,4.656,22.934,5.07,1.247,3.326,0.523,3.386,0.589,1.282,0.159,1.234,0.128
CRESS_007K_AMD,136.263,34378.609,5081.795,9.156,76.225,1959.042,153123.427,78.428,53.489,132.598,744.203,10.734,48.579,26.817,96.36,34.088,94.427,11.058,48.585,11.978,2.708,11.104,1.718,10.871,2.013,4.968,0.679,4.197,0.611
CRESS_010K_AMD,144.147,7636.25,4978.546,<6.8,34.118,356.475,39614.81,26.928,43.317,227.964,625.637,15.281,16.945,5.174,69.251,26.976,67.359,6.825,26.45,5.001,0.91,4.677,0.629,3.603,0.686,1.484,0.231,1.229,0.152
CRESS_013K_AMD,136.379,34799.99,19422.827,16.776,160.033,1813.452,177038.39,62.233,91.278,349.446,617.959,17.985,29.804,13.382,297.988,35.623,76.633,9.019,38.844,10,1.865,8.463,1.14,7.005,1.23,3.141,0.459,2.312,0.357
CRESS_016K_AMD,177.478,18179.371,6550.328,<6.8,52.628,3402.782,123509.495,57.912,59.804,194.503,794.589,8.82,41.62,13.507,142.831,37.418,82.677,10.45,41.436,10.983,2.179,10.245,1.408,8.185,1.424,3.915,0.528,2.954,0.451
CRESS_019K_AMD,159.125,18380.851,14291.611,<6.8,51.384,644.823,59790.882,21.752,48.873,806.042,699.096,6.528,15.592,28.455,86.806,9.833,24.323,2.502,8.648,2.606,0.377,2.328,0.353,2.299,0.511,1.739,0.231,1.782,0.374
CRESS_125K_AMD,181.628,357811.02,144079.978,108.959,791.656,7932.427,146226.723,129.811,858.71,1210.417,1250.886,96.183,410.668,4.287,82.445,285.89,309.153,42.286,157.383,27.12,6.582,32.049,5.245,37.25,8.021,24.246,3.478,23.161,3.961
CRESS_126K_AMD,263.64,104297.205,52096.367,187.844,1530.677,20894.529,264299.731,319.271,2037.26,2837.214,3200.117,114.986,829.008,3.859,151.804,475.042,461.523,68.955,259.105,40.917,10.035,51.426,8.887,69.923,16.494,52.612,7.08,44.981,7.644
CRESS_127K_AMD,179.485,94419.848,41975.965,235.883,1395.418,16265.178,215392.428,302.42,1753.364,3112.178,2751.646,95.904,978.659,2.343,121.81,460.283,401.64,60.982,229.034,38.521,9.27,52.138,9.141,72.575,17.465,57.993,7.965,53.165,9.118
Blank_L,<5,102.544,135.205,<1.4,6.09,2.983,31.161,0.191,12.725,6.068,11.684,1.502,0.015,1.242,8.467,0.01,0.016,0.001,0,0,0.005,0.005,0,0,0.003,<0.012,0,0,0.002
CRESS_007L_AMD,<25,463.881,867.385,<6.8,60.176,86.524,101.312,1.87,14.785,19.534,7.513,8.342,0.543,10.892,110.727,0.18,0.077,0.049,0.342,0.077,0.039,0.099,0.008,0.068,0.024,<0.062,0.018,0.125,0.023
CRESS_013L_AMD,<25,183.113,2952.733,<6.8,84.774,24.83,105.407,2.772,33.627,42.231,7.44,22.56,0.523,5.321,275.573,0.076,0.022,0.025,0.101,0,0.01,0.079,0.008,0.101,0.016,<0.062,0.004,0.092,0
CRESS_016L_AMD,<25,<155,1221.479,<6.8,40.604,28.381,21.755,5.721,16.87,33.222,9.23,6.51,0.226,10.817,74.852,0.035,0.028,0.025,0.135,0,0,0.04,0.004,0.033,0.004,<0.062,0,0,0.007
CRESS_019L_AMD,<25,<155,2483.879,<6.8,16.367,1.658,<5.6,0.79,1.669,29.541,9.661,30.301,0.045,8.924,42.54,0.007,0.028,0,0,0,0,0,0,0,0,<0.062,0,0,0
CRESS_125L_AMD,<25,28168.354,1266.748,<6.8,358.078,64.313,13.56,1.095,41.061,87.118,11.406,72.105,40.584,3.949,10.997,2.407,0.732,0.744,4.897,1.214,0.317,2.003,0.269,2.192,0.643,1.9,0.262,1.582,0.298
CRESS_126L_AMD,<25,640.879,4025.053,<6.8,230.781,773.776,6.665,6.85,99.195,223.237,34.275,262.508,11.838,3.757,9.103,0.658,0.689,0.173,1.735,0.54,0.205,0.909,0.11,0.782,0.193,0.704,0.074,0.594,0.051
CRESS_127L_AMD,<25,567.633,4090.297,<6.8,345.406,601.456,17.604,5.13,74.757,128.442,27.32,249.127,13.472,2.435,6.39,0.766,0.638,0.272,1.728,0.426,0.078,0.873,0.084,0.694,0.192,0.727,0.122,0.494,0.104
