"CRESS_ID","analyte","ug_g","mg_g"
"CRESS_Soil6","Eu",0.15,0
"CRESS_Soil6","Fe",16736.45,16.74
"CRESS_Soil6","Gd",0.77,0
"CRESS_Soil6","Ho",0.2,0
"CRESS_Soil6","K",6977.52,6.98
"CRESS_Soil6","La",0.91,0
"CRESS_Soil6","Li",19.26,0.02
"CRESS_Soil6","Lu",0.17,0
"CRESS_Soil6","Mg",214.52,0.21
"CRESS_Soil6","Mn",590.18,0.59
"CRESS_Soil6","Mo",1.48,0
"CRESS_Soil6","Nd",1.63,0
"CRESS_Soil6","Ni",19.73,0.02
"CRESS_Soil6","Pr",0.39,0
"CRESS_Soil6","Sc",3.71,0
"CRESS_Soil6","Si",233417.92,233.42
"CRESS_Soil6","Sm",0.56,0
"CRESS_Soil6","Sr",47.36,0.05
"CRESS_Soil6","Tb",0.14,0
"CRESS_Soil6","Tm",0.12,0
"CRESS_Soil6","Y",3.55,0
"CRESS_Soil6","Yb",0.82,0
"CRESS_Soil6","Zn",67.39,0.07
"CRESS_Soil7","Al",20068.06,20.07
"CRESS_Soil7","Ba",426.18,0.43
"CRESS_Soil7","Ca",54802.01,54.8
"CRESS_Soil7","Ce",25.2,0.03
"CRESS_Soil7","Co",8.03,0.01
"CRESS_Soil7","Cr",31.03,0.03
"CRESS_Soil7","Cu",126.42,0.13
"CRESS_Soil7","Dy",1.56,0
"CRESS_Soil7","Er",0.82,0
"CRESS_Soil7","Eu",0.41,0
"CRESS_Soil7","Fe",20905.11,20.91
"CRESS_Soil7","Gd",1.58,0
"CRESS_Soil7","Ho",0.32,0
"CRESS_Soil7","K",27620.06,27.62
"CRESS_Soil7","La",10.44,0.01
"CRESS_Soil7","Li",12.95,0.01
"CRESS_Soil7","Lu",0.09,0
"CRESS_Soil7","Mg",6667.16,6.67
"CRESS_Soil7","Mn",667.32,0.67
"CRESS_Soil7","Mo",2.59,0
"CRESS_Soil7","Nd",9.1,0.01
"CRESS_Soil7","Ni",15.83,0.02
"CRESS_Soil7","Pr",2.35,0
"CRESS_Soil7","Sc",3.37,0
"CRESS_Soil7","Si",188154.32,188.15
"CRESS_Soil7","Sm",1.73,0
"CRESS_Soil7","Sr",173.92,0.17
"CRESS_Soil7","Tb",0.25,0
"CRESS_Soil7","Tm",0.12,0
"CRESS_Soil7","Y",6.71,0.01
"CRESS_Soil7","Yb",0.73,0
"CRESS_Soil7","Zn",67.78,0.07
