"sample_ID","sample_name","analyte","group","extraction_sequence","extract_code","extract","fraction","ppb_blank_corr","ug_g","mg_g"
"CRESS_003","GCREW-A","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.29,0.01,0
"CRESS_003","GCREW-A","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",0.93,0.02,0
"CRESS_003","GCREW-A","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.07,0,0
"CRESS_003","GCREW-A","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.31,0.01,0
"CRESS_003","GCREW-A","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.05,0,0
"CRESS_003","GCREW-A","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.06,0,0
"CRESS_003","GCREW-A","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.04,0,0
"CRESS_003","GCREW-A","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0.02,0,0
"CRESS_003","GCREW-A","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_003","GCREW-A","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0,0.01,0
"CRESS_004","61049_53_TOP","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",202.6,4.06,0
"CRESS_004","61049_53_TOP","Al","cations","Soil Sequence","B","B: water","B: water-extractable",430.07,8.6,0.01
"CRESS_004","61049_53_TOP","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",873.75,17.48,0.02
"CRESS_004","61049_53_TOP","K","cations","Soil Sequence","B","B: water","B: water-extractable",4395.56,88.01,0.09
"CRESS_004","61049_53_TOP","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",143.99,2.88,0
"CRESS_004","61049_53_TOP","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",11.12,0.22,0
"CRESS_004","61049_53_TOP","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",219.89,4.4,0
"CRESS_004","61049_53_TOP","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.23,0,0
"CRESS_004","61049_53_TOP","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.42,0.01,0
"CRESS_004","61049_53_TOP","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.41,0.03,0
"CRESS_004","61049_53_TOP","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.53,0.06,0
"CRESS_004","61049_53_TOP","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",9.68,0.19,0
"CRESS_004","61049_53_TOP","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",12.65,0.25,0
