"CRESS_ID","analyte","XRF_ugg"
"CRESS_Soil7","Pb",53.8
"CRESS_Soil7","Th",26.2
"CRESS_Soil7","U",0
"CRESS_Mud1","Cl",1205
"CRESS_Mud1","V",2555
"CRESS_Mud1","Cr",1090
"CRESS_Mud1","Ni",593
"CRESS_Mud1","Cu",174
"CRESS_Mud1","Zn",447
"CRESS_Mud1","Ga",108
"CRESS_Mud1","As",71.8
"CRESS_Mud1","Se",7
"CRESS_Mud1","Br",11.3
"CRESS_Mud1","Rb",0
"CRESS_Mud1","Sr",397
"CRESS_Mud1","Y",573
"CRESS_Mud1","Nb",287
"CRESS_Mud1","Mo",0
"CRESS_Mud1","Ag",0
"CRESS_Mud1","Cd",47.6
"CRESS_Mud1","In",0
"CRESS_Mud1","Sb",0
"CRESS_Mud1","Cs",0
"CRESS_Mud1","Ba",0
"CRESS_Mud1","La",353
"CRESS_Mud1","Ce",321
"CRESS_Mud1","Pb",125
"CRESS_Mud1","Th",204
"CRESS_Mud1","U",0
"CRESS_Mud2","Cl",242
"CRESS_Mud2","V",2980
"CRESS_Mud2","Cr",2470
"CRESS_Mud2","Ni",1750
"CRESS_Mud2","Cu",402
"CRESS_Mud2","Zn",1245
"CRESS_Mud2","Ga",38
"CRESS_Mud2","As",83
"CRESS_Mud2","Se",0
"CRESS_Mud2","Br",0
"CRESS_Mud2","Rb",0
"CRESS_Mud2","Sr",981
"CRESS_Mud2","Y",1525
"CRESS_Mud2","Nb",391
"CRESS_Mud2","Mo",0
"CRESS_Mud2","Ag",0
"CRESS_Mud2","Cd",157
"CRESS_Mud2","In",0
"CRESS_Mud2","Sb",0
"CRESS_Mud2","Cs",0
"CRESS_Mud2","Ba",266
"CRESS_Mud2","La",1170
"CRESS_Mud2","Ce",1080
"CRESS_Mud2","Pb",415
"CRESS_Mud2","Th",309
"CRESS_Mud2","U",0
"CRESS_Mud3","Cl",125
"CRESS_Mud3","V",3080
"CRESS_Mud3","Cr",2450
"CRESS_Mud3","Ni",1640
"CRESS_Mud3","Cu",381
"CRESS_Mud3","Zn",1155
"CRESS_Mud3","Ga",39.7
"CRESS_Mud3","As",96.4
"CRESS_Mud3","Se",0
"CRESS_Mud3","Br",0
"CRESS_Mud3","Rb",0
"CRESS_Mud3","Sr",995
"CRESS_Mud3","Y",1490
"CRESS_Mud3","Nb",421
"CRESS_Mud3","Mo",0
"CRESS_Mud3","Ag",0
"CRESS_Mud3","Cd",128
"CRESS_Mud3","In",0
"CRESS_Mud3","Sb",0
"CRESS_Mud3","Cs",0
"CRESS_Mud3","Ba",253
"CRESS_Mud3","La",1220
"CRESS_Mud3","Ce",1140
"CRESS_Mud3","Pb",435
"CRESS_Mud3","Th",329
"CRESS_Mud3","U",0
