,Li,Mg,Al,Si,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Blank Water ,1.077,0.194,<1,<5,5.077,<10,0.039,<0.1,<0.01,<0.01,0.005,1.704,0.005,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS_020C HCl,5.193,41639.707,18861.695,12349.869,4663.814,469039.096,4775.795,3839.172,25.441,18.952,867.97,77.001,2264.499,969.914,175.325,287.039,45.766,173.71,42.416,8.073,43.362,5.753,34.715,6.582,19.193,2.312,16.37,2.132
CRESS_021C HCl,<2,45590.499,20176.037,12944.313,4837.988,519859.325,4864.624,3516.152,24.414,17.71,897.612,100.413,2525.263,1056.077,182.959,301.476,48.183,182.68,42.87,8.649,45.093,6.215,36.721,7.088,20.437,2.514,17.321,2.295
CRESS Blank DTPA,<2,-22.481,23.734,<20,<100,247.595,0.836,53.309,<0.2,<0.2,10.241,6.501,0.366,1.99,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_001A DTPA,<2,11890.506,5923.52,5170.035,29078.596,1244.959,61.979,182518.151,9.327,98.03,35.902,206.471,90.133,81.866,0.885,4.145,0.284,1.678,0.358,<0.2,0.704,<0.2,0.894,<0.2,0.246,<0.2,0.054,<0.2
CRESS_002A DTPA,<2,11522.598,5350.148,5224.967,29266.221,1193.322,61.883,178463.118,8.923,93.097,33.487,181.586,86.564,79.566,0.865,4.045,0.253,1.933,0.265,<0.2,0.572,<0.2,0.796,<0.2,0.249,<0.2,0.059,<0.2
CRESS_003A DTPA,<2,11829.983,5533.02,5154.808,30120.825,1184.842,62.376,180463.719,8.446,92.167,33.972,193.913,86.903,80.353,0.697,3.993,0.236,1.911,0.529,<0.2,0.518,<0.2,0.923,<0.2,0.185,<0.2,0.042,<0.2
CRESS_004A DTPA,<2,18025.306,17375.564,3904.817,47096.846,17345.608,20327.235,78162.314,212.953,78.401,273.249,731.53,1312.42,2272.325,597.272,1669.643,190.72,799.089,201.804,50.956,205.476,24.72,137.712,23.505,58.648,6.733,39.947,4.893
CRESS_005A DTPA,<2,17258.734,17740.749,4039.214,44480.694,16679.114,18619.625,76383.295,203.514,71.604,270.953,686.973,1239.764,2250.833,680.817,1707.5,190.471,783.657,194.568,49.5,198.866,23.857,136.227,22.539,57.095,6.773,38.423,4.801
CRESS_006A DTPA,<2,17126.873,17187.613,3790.523,42728.176,16638.87,18698.87,75748.791,199.591,70.706,264.579,701.944,1211.905,2136.684,561.372,1512.332,177.811,748.47,190.544,48.096,188.935,22.853,130.245,21.857,56.134,6.353,37.533,4.625
CRESS_007A DTPA,<2,19895.937,14763.98,10164.634,9541.276,14566.388,108132.483,19002.853,712.047,327.517,755.429,752.121,303.515,271.306,613.171,2341.863,240.723,905.826,196.768,42.177,181.871,21.687,119.533,20.109,49.589,5.933,35.526,4.687
CRESS_008A DTPA,<2,20002.085,15166.274,10417.479,9422.32,14051.922,102783.496,18271.354,695.458,311.303,743.631,745.122,298.746,269.943,617.229,2243.124,229.245,863.716,192.517,40.809,179.321,21.893,115.722,19.338,47.908,5.731,35.911,4.632
CRESS_009A DTPA,<2,19505.122,14965.534,10543.986,8995.965,13791.591,104150.646,18972.39,695.441,312.682,756.777,755.922,292.814,269.227,584.676,2196.018,228.812,852.914,189.956,40.061,175.899,20.869,112.121,19.281,47.936,5.652,34.987,4.539
CRESS_010A DTPA,<2,22706.83,9607.722,6824.58,31260.898,31925.028,16208.092,11335.557,219.802,127.08,1192.024,965.332,1233.649,658.669,672.384,1580.741,159.82,578.699,121.082,26.24,117.487,15.499,90.661,15.789,40.269,4.947,29.783,3.552
