,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,33S,34S
13,337,175.02502492946536,175.02482294037958,175.0248115229391,61749368.1458982,83.82654974334515,1061504.1805382585,329.0070585888342,-1,0.06523326822282349,0.4996140825186493,0.9390602752728998,0.6753925596203496,3.0,1.0,1.3333333333333333,O6,de-protonated,,0.0,,C6 H8 O6,6.0,8.0,6.0,,,,,,,
14,340,175.04025288306897,175.04005087239798,175.04006766422907,5133782.433894901,43.49298603069631,1060897.7086390315,27.353095939620314,-1,-0.0959313562349871,0.9983315528815963,0.0,0.5989989317289577,7.0,0.3,0.8,O3,de-protonated,,0.0,,C10 H8 O3,10.0,8.0,3.0,,,,,,,
15,343,175.06139299348703,175.06119095285044,175.06119703228907,22832775.01434091,76.9031658623586,978709.3307571211,121.00376608785906,-1,-0.03472750522302442,0.49989059844716466,0.929618492764518,0.671781756174106,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,,
16,345,175.07666356255558,175.07646150027318,175.07645317357907,3794541.477151334,58.2602517472145,992774.1863899614,19.75026121989004,-1,0.04756033129367835,0.9995896499894379,0.0,0.5997537899936627,6.0,0.18181818181818182,1.0909090909090908,O2,de-protonated,,0.0,,C11 H12 O2,11.0,12.0,2.0,,,,,,,
17,346,175.0977721409178,175.09757004871415,175.0975825416391,6731046.700002009,65.89657205544563,992575.0517441807,35.586826930045504,-1,-0.07134835770414558,0.9990767459297072,0.0,0.5994460475578243,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,,
18,361,177.01953284133987,177.01932802436895,177.01933221933908,12983228.111729773,50.19362661122265,955837.7247817437,68.24372880635529,-1,-0.023697807909862426,0.9998981061314856,0.0,0.5999388636788913,7.0,0.4444444444444444,0.6666666666666666,O4,de-protonated,,0.0,,C9 H6 O4,9.0,6.0,4.0,,,,,,,
19,365,177.0559257684452,177.05572089986148,177.05571772868907,7303088.372978178,77.86491106419848,988198.2885165564,38.95517142612854,-1,0.017910590235613633,0.9999417949073317,0.0,0.599965076944399,6.0,0.3,1.0,O3,de-protonated,,0.0,,C10 H10 O3,10.0,10.0,3.0,,,,,,,
20,382,178.9987928224523,178.99858519776598,178.99859677444908,4378152.495102673,54.9704798698469,964006.7495828636,23.19880439445124,-1,-0.06467471430425802,0.9992413209897548,0.0,0.5995447925938528,7.0,0.625,0.5,O5,de-protonated,,0.0,,C8 H4 O5,8.0,4.0,5.0,,,,,,,
21,386,179.03519864374186,179.0349909673979,179.03498228379908,30121151.96315749,60.48207457043441,971557.3865307741,158.0876350161637,-1,0.048502246379818044,0.9991863567355472,0.9985411190797734,0.9989282616732378,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,,,,
22,389,179.0563084787311,179.05610077243333,179.05611165185908,5395963.888448009,55.31817095413077,1037205.4088581034,28.03745799596734,-1,-0.06075986827892364,0.9993303590183912,0.0,0.5995982154110346,1.0,1.0,2.0,O6,de-protonated,,0.0,,C6 H12 O6,6.0,12.0,6.0,,,,,,,
23,392,179.0715759688819,179.0713682409202,179.07136779314908,9039368.110768147,60.422661498079286,970828.8649032568,46.857414545510636,-1,0.0025005177217229282,0.9999988654766059,0.0,0.5999993192859635,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,,,,
24,402,180.03856086798717,180.0383517677405,180.03833711886907,2879209.7886714307,53.97217912346052,1055968.818559188,15.323294167895195,-1,0.08136528953946336,0.9987994745934011,0.9985411190797734,0.99869613238795,6.0,0.4444444444444444,0.8888888888888888,13C1 O4,de-protonated,,1.0,386.0,C8 H8 O4 13C1,8.0,8.0,4.0,,,,1.0,,,
25,404,180.06685828197146,180.06664914156167,180.06661676534907,1696614.4659521712,35.308360425560906,1128480.4659786152,9.23354118211968,-1,0.17980130455684992,0.9941512056737903,0.0,0.5964907234042742,5.0,0.3333333333333333,1.2222222222222223,N1 O3,de-protonated,,0.0,,C9 H11 O3 N1,9.0,11.0,3.0,1.0,,,,,,
26,416,181.05083472810773,181.05062419093557,181.05063234825906,18745816.272025924,74.36753766201619,936027.4875874534,97.00832148719135,-1,-0.045055481919282395,0.49981586381983606,0.9112932940309506,0.6644068359042818,5.0,0.4444444444444444,1.1111111111111112,O4,de-protonated,,0.0,,C9 H10 O4,9.0,10.0,4.0,,,,,,,
27,426,182.0096946072603,182.00948270863563,182.00949581110908,5546021.513753695,40.66492747088482,927730.0351118597,29.074694237618306,-1,-0.07198785638836942,0.999060129234576,0.0,0.5994360775407456,6.0,0.7142857142857143,0.7142857142857143,N1 O5,de-protonated,,0.0,,C7 H5 O5 N1,7.0,5.0,5.0,1.0,,,,,,
28,433,182.99373463929882,182.99352134311692,182.9935113940191,8047218.379420579,50.60446013040228,1016282.5144303518,42.40906117925495,-1,0.05436858254831064,0.999463791878863,0.0,0.5996782751273178,6.0,0.8571428571428571,0.5714285714285714,O6,de-protonated,,0.0,,C7 H4 O6,7.0,4.0,6.0,,,,,,,
29,437,183.03010945653241,183.0298961086833,183.0298969033691,27312352.32852866,68.78149087097607,960534.8827490632,144.95643806000507,-1,-0.004341836043344683,0.9996324696922273,0.9786280526147749,0.9912307028612464,5.0,0.625,1.0,O5,de-protonated,,0.0,,C8 H8 O5,8.0,8.0,5.0,,,,,,,
30,441,183.06648752816508,183.0662741286436,183.0662824127191,15824933.844078492,131.08459457041786,969357.8857301491,83.57771613138091,-1,-0.04525178185720364,0.49981425611613317,0.9112932940309507,0.6644058712820602,4.0,0.4444444444444444,1.3333333333333333,O4,de-protonated,,0.0,,C9 H12 O4,9.0,12.0,4.0,,,,,,,
31,444,183.10286950696081,183.10265605576097,183.1026679220691,5627344.424781914,55.35161433855834,1047008.0967706558,29.459647894313512,-1,-0.06480685534819859,0.9992382187937944,0.0,0.5995429312762766,3.0,0.3,1.6,O3,de-protonated,,0.0,,C10 H16 O3,10.0,16.0,3.0,,,,,,,
32,452,184.03345482344577,184.0332400502406,184.03325173843908,1689760.7748231206,36.90523983643958,932218.4439080098,8.958192386011305,-1,-0.06351134025572928,0.9992683599658135,0.9786280526147749,0.9910122370253981,5.0,0.625,1.0,13C1 O5,de-protonated,,1.0,437.0,C7 H8 O5 13C1,7.0,8.0,5.0,,,,1.0,,,
33,453,184.06175491640863,184.06154010299485,184.06153138491908,3700973.1535559874,72.21757122051376,1076973.123491777,19.37600072032526,-1,0.04736500729056762,0.9995930128904258,0.0,0.5997558077342554,4.0,0.5,1.375,N1 O4,de-protonated,,0.0,,C8 H11 O4 N1,8.0,11.0,4.0,1.0,,,,,,
34,461,184.99159726479968,184.9913811301076,184.99140339373906,2522167.6769766705,43.56289312915833,1027383.2439335453,13.264861420288897,-1,-0.1203495462058202,0.9973753452643345,0.0,0.5984252071586007,5.0,0.5714285714285714,0.8571428571428571,S1 O4,de-protonated,,0.0,,C7 H6 O4 S1,7.0,6.0,4.0,,,1.0,,,,
35,462,185.0093914197446,185.00917525976442,185.00916145847907,22830669.117760584,57.90837091001541,1028891.5414368717,119.76335986073006,-1,0.07459784823376649,0.49949538844475827,0.929618492764518,0.6715446301726622,5.0,0.8571428571428571,0.8571428571428571,O6,de-protonated,,0.0,,C7 H6 O6,7.0,6.0,6.0,,,,,,,
36,468,185.04577566058688,185.0455594488991,185.04554696782907,38988474.48947526,58.937111426291864,1020126.8665908922,207.01952204497627,-1,0.06744863756221495,0.4995874363507718,0.9203646850869849,0.667898335845257,4.0,0.625,1.25,O5,de-protonated,,0.0,,C8 H10 O5,8.0,10.0,5.0,,,,,,,
37,470,185.0821525339692,185.08193627058375,185.08193247717907,13453383.30273522,43.70545635901978,979793.9368724885,70.72454126061328,-1,0.020495813051474354,0.9999237802396389,0.0,0.5999542681437833,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,,,,
38,471,185.11853828775352,185.1183219726573,185.1183179865291,8814286.730807591,48.641794999403686,929989.4559004433,45.82017830385967,-1,0.021532867463010013,0.9999158722460835,0.0,0.5999495233476501,2.0,0.3,1.8,O3,de-protonated,,0.0,,C10 H18 O3,10.0,18.0,3.0,,,,,,,
39,472,185.15491601626587,185.1546996494698,185.15470349587906,3737638.8688549693,61.012206705028724,955301.8265105146,19.34392124893399,-1,-0.020774029492459756,0.9999216970160939,0.0,0.5999530182096563,1.0,0.18181818181818182,2.0,O2,de-protonated,,0.0,,C11 H22 O2,11.0,22.0,2.0,,,,,,,
40,488,187.07668313608312,187.07646403738764,187.07645317357907,2202455.8633566094,51.876097289166196,1032003.502981971,11.511183650899635,-1,0.058071491012841044,0.9993882881176757,0.0,0.5996329728706054,7.0,0.16666666666666666,1.0,O2,de-protonated,,0.0,,C12 H12 O2,12.0,12.0,2.0,,,,,,,
41,490,187.1341894791714,187.13397029870646,187.13396805098907,3394867.232711139,58.22812960095678,966838.5991118025,18.178367121717958,-1,0.012011274133721559,0.9999738226124997,0.0,0.5999842935674998,1.0,0.3,2.0,O3,de-protonated,,0.0,,C10 H20 O3,10.0,20.0,3.0,,,,,,,
42,505,189.00432318762313,189.00410134731217,189.00407607804908,4876810.427586136,101.75616057563394,894342.2503919442,25.439020813274716,-1,0.13369692133222527,0.9967618829521342,0.0,0.5980571297712804,4.0,1.1666666666666667,1.0,O7,de-protonated,,0.0,,C6 H6 O7,6.0,6.0,7.0,,,,,,,
43,507,189.01953867459017,189.0193168126333,189.01933221933908,7334474.515202306,59.19546329656809,964672.6834547982,37.83238992743419,-1,-0.0815086245625292,0.9987952436709272,0.0,0.5992771462025563,8.0,0.4,0.6,O4,de-protonated,,0.0,,C10 H6 O4,10.0,6.0,4.0,,,,,,,
44,511,189.0407005891956,189.04047869713318,189.04046158739908,42739425.397474006,86.561797865151,949150.9300507706,220.53567265783008,-1,0.09050831741909805,0.9983525889735378,0.9948368611195814,0.9969462978319552,3.0,0.8571428571428571,1.4285714285714286,O6,de-protonated,,0.0,,C7 H10 O6,7.0,10.0,6.0,,,,,,,
45,513,189.05592911454218,189.05570720081505,189.05571772868907,4629803.919295612,50.19182033682395,886221.8308447615,24.252080371797838,-1,-0.05568662059779555,0.9994374859461005,0.0,0.5996624915676603,7.0,0.2727272727272727,0.9090909090909091,O3,de-protonated,,0.0,,C11 H10 O3,11.0,10.0,3.0,,,,,,,
46,515,189.07708905533525,189.0768671115051,189.07684709674908,17351234.01693607,53.02284866272877,901281.8982103484,89.95083778111261,-1,0.10585513945888188,0.9979688766494174,0.0,0.5987813259896504,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,,,,
47,516,189.0923253973442,189.09210343183807,189.09210323803907,2490469.315318399,23.828666522913228,890091.2353837544,13.200702477506363,-1,0.0010248920662873676,0.999999809405638,0.0,0.5999998856433828,6.0,0.16666666666666666,1.1666666666666667,O2,de-protonated,,0.0,,C12 H14 O2,12.0,14.0,2.0,,,,,,,
48,523,190.04402075500712,190.0437974354019,190.0438164224691,2981868.165243283,94.8244588056806,1022864.7681853746,15.547850467634063,-1,-0.09990889233121569,0.9981904571046261,0.9948368611195814,0.9968490187106083,3.0,0.8571428571428571,1.4285714285714286,13C1 O6,de-protonated,,1.0,511.0,C6 H10 O6 13C1,6.0,10.0,6.0,,,,1.0,,,
49,529,190.99883694665175,190.99861226817163,190.99859677444908,9404570.872800369,58.4414015957997,927598.7731415498,50.12952062741987,-1,0.08111956215817695,0.9988067106197134,0.0,0.599284026371828,8.0,0.5555555555555556,0.4444444444444444,O5,de-protonated,,0.0,,C9 H4 O5,9.0,4.0,5.0,,,,,,,
50,531,191.019944985138,191.01972027661355,191.01972614250909,16911125.63827917,82.84808309836541,963386.40887235,88.49656841137518,-1,-0.030708323425776993,0.9998289083220535,0.0,0.5998973449932321,3.0,1.1666666666666667,1.3333333333333333,O7,de-protonated,,0.0,,C6 H8 O7,6.0,8.0,7.0,,,,,,,
51,533,191.03521337977799,191.034988649521,191.03498228379908,18468435.10717722,73.12485521201603,938638.9091676201,97.86377405762514,-1,0.033322283981302984,0.9991279433306811,0.9915678546101734,0.996103907842478,7.0,0.4,0.8,O4,de-protonated,,0.0,,C10 H8 O4,10.0,8.0,4.0,,,,,,,
52,536,191.0563290492039,191.05610428889145,191.05611165185908,23035407.8713021,90.44037926559359,973131.0435747515,123.09962488542183,-1,-0.038538247077374,0.9996999393513413,0.9981606865786175,0.9990842382422517,2.0,0.8571428571428571,1.7142857142857142,O6,de-protonated,,0.0,,C7 H12 O6,7.0,12.0,6.0,,,,,,,
53,538,191.07158855677642,191.0713637747439,191.07136779314908,7259900.310904161,60.51090770574287,977889.565003362,38.13179832708602,-1,-0.021030912296266326,0.9999197485984527,0.0,0.5999518491590716,6.0,0.2727272727272727,1.0909090909090908,O3,de-protonated,,0.0,,C11 H12 O3,11.0,12.0,3.0,,,,,,,
54,540,191.107995748045,191.1077709141909,191.10775330249908,3625782.64352402,87.7266084250061,889259.8153214756,19.231643099064556,-1,0.09215582053875634,0.9984601983149521,0.0,0.5990761189889713,5.0,0.16666666666666666,1.3333333333333333,O2,de-protonated,,0.0,,C12 H16 O2,12.0,16.0,2.0,,,,,,,
55,547,192.03046532970953,192.03023918265933,192.03023125599907,3076779.1355550117,57.43875910554009,910398.8998338919,16.510234609372073,-1,0.04127818941779035,0.9996908793811798,0.0,0.5998145276287079,7.0,0.4444444444444444,0.7777777777777778,N1 O4,de-protonated,,0.0,,C9 H7 O4 N1,9.0,7.0,4.0,1.0,,,,,,
56,548,192.03854556355572,192.03831940500137,192.03833711886907,1808029.569064151,76.70662730243089,906273.8564523039,9.42067143190207,-1,-0.09224130950903534,0.9984573423806823,0.9915678546101734,0.9957015472724788,7.0,0.4,0.8,13C1 O4,de-protonated,,1.0,533.0,C9 H8 O4 13C1,9.0,8.0,4.0,,,,1.0,,,
57,549,192.05968447598224,192.05945828733152,192.0594664869291,1793137.9553148441,38.92802155329932,1146194.7245941486,9.319086439163058,-1,-0.04269301442594722,0.9996693293459609,0.9981606865786175,0.9990658722390234,2.0,0.8571428571428571,1.7142857142857142,13C1 O6,de-protonated,,1.0,536.0,C6 H12 O6 13C1,6.0,12.0,6.0,,,,1.0,,,
58,556,193.0144529318178,193.01422538365085,193.01424683890906,30482283.26424787,46.81275556870377,913182.2276840782,162.0227168401591,-1,-0.11115893545631364,0.49888023773106827,0.9112932940309507,0.6638454602510213,7.0,0.5555555555555556,0.6666666666666666,O5,de-protonated,,0.0,,C9 H6 O5,9.0,6.0,5.0,,,,,,,
59,559,193.03563032211753,193.03540274379182,193.0353762069691,5265153.251354017,73.83170255302113,951686.6888773751,27.37448225388116,-1,0.13747129283648732,0.996576790653105,0.0,0.597946074391863,2.0,1.1666666666666667,1.6666666666666667,O7,de-protonated,,0.0,,C6 H10 O7,6.0,10.0,7.0,,,,,,,
60,560,193.05082982856038,193.0506022285889,193.05063234825906,18041940.34340005,56.17983699104238,943580.1602686647,95.34018897484547,-1,-0.15601953638129704,0.9966235676258455,0.9876626666148381,0.9930392072214425,6.0,0.4,1.0,O4,de-protonated,,0.0,,C10 H10 O4,10.0,10.0,4.0,,,,,,,
61,563,193.08722594513065,193.08699829332681,193.08701785760908,7975048.547353838,87.94933893178249,1012815.9076522775,41.8102443799513,-1,-0.10132365441228139,0.998138894166116,0.0,0.5988833364996696,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,,,,
62,564,193.12358813934796,193.12336043575954,193.12340336695908,2116890.552153807,52.09882321766037,972869.1735309656,11.275934194030345,-1,-0.22229931119796822,0.9910734337073834,0.0,0.5946440602244301,4.0,0.16666666666666666,1.5,O2,de-protonated,,0.0,,C12 H18 O2,12.0,18.0,2.0,,,,,,,
63,570,194.00972002438746,194.0094910586797,194.00949581110908,2085203.2525996096,53.66431260988791,1129727.142914659,11.099497101378375,-1,-0.024495859556635937,0.999891128162522,0.0,0.5999346768975132,7.0,0.625,0.625,N1 O5,de-protonated,,0.0,,C8 H5 O5 N1,8.0,5.0,5.0,1.0,,,,,,
64,572,194.04612906192605,194.04590004435465,194.0458813204591,2828446.497061001,60.914300304147645,998717.4505938125,14.949033668330413,-1,0.09649210497564549,0.9983120072052329,0.0,0.5989872043231398,6.0,0.4444444444444444,1.0,N1 O4,de-protonated,,0.0,,C9 H9 O4 N1,9.0,9.0,4.0,1.0,,,,,,
65,573,194.05423828958584,194.054009260463,194.05398718332907,2228498.726545037,51.82679051294585,1064891.022277467,11.71970021494287,-1,0.11376799959003335,0.9976542366460823,0.9876626666148381,0.9936576086335847,6.0,0.4,1.0,13C1 O4,de-protonated,,1.0,560.0,C9 H10 O4 13C1,9.0,10.0,4.0,,,,1.0,,,
66,579,194.99370614585374,194.9934757783136,194.9935113940191,2401491.605859172,78.6080734423451,884045.3318009471,12.698124092376514,-1,-0.1826507211991392,0.9939649231694717,0.0,0.596378953901683,7.0,0.75,0.5,O6,de-protonated,,0.0,,C8 H4 O6,8.0,4.0,6.0,,,,,,,
67,582,195.0301162406163,195.0298858211978,195.0298969033691,53467165.95694785,90.81196382308076,934462.1306925743,278.1931759050673,-1,-0.056822935661250934,0.9995719082852805,0.993854879815327,0.9972850968972992,6.0,0.5555555555555556,0.8888888888888888,O5,de-protonated,,0.0,,C9 H8 O5,9.0,8.0,5.0,,,,,,,
68,584,195.0512727820879,195.05104233252462,195.05102627142907,2121835.733467675,94.86552787129074,947641.4699703299,11.147616308465276,-1,0.0823430455990643,0.9987704659690111,0.0,0.5992622795814067,1.0,1.1666666666666667,2.0,O7,de-protonated,,0.0,,C6 H12 O7,6.0,12.0,7.0,,,,,,,
69,585,195.05663646289577,195.05640600569,195.0563864339491,1730268.8103930163,42.98974438503461,1159410.3104530626,9.158689082206724,-1,0.1003388880470841,0.9981748617344139,0.0,0.5989049170406483,10.0,0.08333333333333333,0.6666666666666666,N2 O1,de-protonated,,0.0,,C12 H8 O1 N2,12.0,8.0,1.0,2.0,,,,,,
70,586,195.06650418803952,195.0662737167737,195.0662824127191,17404263.60794252,119.04740752998106,919567.846442064,91.49065240789344,-1,-0.044579438716339605,0.49981973362547033,0.9023989783818297,0.6608514315280141,5.0,0.4,1.2,O4,de-protonated,,0.0,,C10 H12 O4,10.0,12.0,4.0,,,,,,,
71,587,195.13927327854498,195.13904270359282,195.13905343141906,2568852.1707603093,35.192626560845156,965122.5950611872,13.676547969810157,-1,-0.05497529094043959,0.9994517611279105,0.0,0.5996710566767463,3.0,0.16666666666666666,1.6666666666666667,O2,de-protonated,,0.0,,C12 H20 O2,12.0,20.0,2.0,,,,,,,
72,592,196.02538402784316,196.02515219014353,196.02514587556908,6369636.28309657,86.017636164675,881044.035612727,33.58720654665653,-1,0.03221308379035699,0.9998117315497975,0.0,0.5998870389298785,6.0,0.625,0.875,N1 O5,de-protonated,,0.0,,C8 H7 O5 N1,8.0,7.0,5.0,1.0,,,,,,
73,593,196.03347601840295,196.03324416917053,196.03325173843908,5602904.007119974,54.98788998887715,953824.0968579586,29.801828922487026,-1,-0.03861216645611716,0.9997295148504372,0.993854879815327,0.9973796608363931,6.0,0.5555555555555556,0.8888888888888888,13C1 O5,de-protonated,,1.0,582.0,C8 H8 O5 13C1,8.0,8.0,5.0,,,,1.0,,,
74,595,196.06176247600922,196.06153058646248,196.06153138491908,2033256.2585796553,76.78276467614602,936333.4653486118,10.66642423759627,-1,-0.004072479650648011,0.9999969906616436,0.0,0.5999981943969861,5.0,0.4444444444444444,1.2222222222222223,N1 O4,de-protonated,,0.0,,C9 H11 O4 N1,9.0,11.0,4.0,1.0,,,,,,
75,602,197.00939762755252,197.00916438725034,197.00916145847907,165206766.06437248,124.83936471859892,926983.5897539188,873.245983898809,-1,0.014866167871155024,0.6666312408530582,0.9861739241353414,0.7944483141659715,6.0,0.75,0.75,O6,de-protonated,,0.0,,C8 H6 O6,8.0,6.0,6.0,,,,,,,
76,604,197.020632525098,197.02039926877967,197.02039484776907,1729289.2813381099,55.042735111959026,896709.0622581637,9.150669214358906,-1,0.022439355096101867,0.9999086402859914,0.0,0.5999451841715948,6.0,0.7142857142857143,0.8571428571428571,N2 O5,de-protonated,,0.0,,C7 H6 O5 N2,7.0,6.0,5.0,2.0,,,,,,
77,608,197.04578765929045,197.0455543671115,197.04554696782907,35427379.2865148,63.45074884701826,910875.5604583505,185.2054814989147,-1,0.03755112733053137,0.9988793369948168,0.9957472435146536,0.9976264996027515,5.0,0.5555555555555556,1.1111111111111112,O5,de-protonated,,0.0,,C9 H10 O5,9.0,10.0,5.0,,,,,,,
78,612,197.08217991206686,197.08194656800742,197.08193247717907,21595705.86977236,112.44650951787997,930836.0800402026,113.2191476969116,-1,0.07149731170806412,0.9994473332222297,0.9941865795253394,0.9973430317434735,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,,,,
79,615,198.00465142299595,198.00441676370662,198.0044104306791,11006285.072802633,196.96287897658505,920285.5903719253,57.272549590541985,-1,0.03198427506941125,0.999814396335993,0.0,0.5998886378015957,6.0,0.8571428571428571,0.7142857142857143,N1 O6,de-protonated,,0.0,,C7 H5 O6 N1,7.0,5.0,6.0,1.0,,,,,,
80,617,198.01274718275928,198.01251251192588,198.0125162935491,13614832.924126612,75.71868771279203,929735.1033364636,71.23781280287355,-1,-0.019097900000389224,0.6666225482997254,0.9861739241353414,0.7944430986339719,6.0,0.75,0.75,13C1 O6,de-protonated,,1.0,602.0,C7 H6 O6 13C1,7.0,6.0,6.0,,,,1.0,,,
81,620,198.04915725311923,198.048922530367,198.04890180289908,3267975.5419359356,39.454844093743574,943111.7883475119,17.28548850132769,-1,0.104658333059306,0.9980144997241035,0.9957472435146536,0.9971075972403235,5.0,0.5555555555555556,1.1111111111111112,13C1 O5,de-protonated,,1.0,608.0,C8 H10 O5 13C1,8.0,10.0,5.0,,,,1.0,,,
82,622,198.08551587850474,198.0852811039065,198.08528731224908,2490903.243340683,49.03614958433373,1006099.7820487751,13.099117484767351,-1,-0.031341765222263986,0.9998217777053617,0.9941865795253394,0.9975676984333528,4.0,0.4,1.4,13C1 O4,de-protonated,,1.0,612.0,C9 H14 O4 13C1,9.0,14.0,4.0,,,,1.0,,,
83,625,198.98864854183748,198.9884124792513,198.98842601358908,65448372.76606676,91.65587517345648,949006.5039089593,349.79455605037515,-1,-0.06801570342049285,0.9995147870338638,0.996744985249572,0.9984068663201471,6.0,1.0,0.5714285714285714,O7,de-protonated,,0.0,,C7 H4 O7,7.0,4.0,7.0,,,,,,,
84,626,199.00689051901583,199.0066544304111,199.0066733356791,2050337.389919073,30.46753416274414,1178027.1701108771,10.677117394726693,-1,-0.09499816106762202,0.998363828992696,0.0,0.5990182973956176,10.0,0.1,0.5,N2 P1 O1,de-protonated,,0.0,,C10 H5 O1 N2 P1,10.0,5.0,1.0,2.0,1.0,,,,,
