,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
58,179,207.01234067897815,207.01217107994822,207.01213883862906,2771800.700484253,107.74269649363917,908480.8093757408,14.719261168382793,-1,0.1557460318124787,0.9956083025418764,0.0,0.5973649815251258,7.0,0.3,0.8,S1 O3,de-protonated,,0.0,,C10 H8 O3 S1,10.0,8.0,3.0,,,1.0,,,,
59,180,207.06646111421597,207.06629147438883,207.0662824127191,1713633.901838332,66.40174895406075,886380.3177537883,9.07029131578719,-1,0.043762169474788296,0.9996525630053701,0.0,0.599791537803222,6.0,0.36363636363636365,1.0909090909090908,O4,de-protonated,,0.0,,C11 H12 O4,11.0,12.0,4.0,,,,,,,
60,181,207.0698280970509,207.0696584546857,207.06965371603906,1968963.335601888,52.0416941610473,1020063.3225636038,10.54546552262217,-1,0.02288431243747857,0.999904981333449,0.0,0.5999429888000694,1.0,0.5,2.0,S1 O4,de-protonated,,0.0,,C8 H16 O4 S1,8.0,16.0,4.0,,,1.0,,,,
61,182,207.13921465507914,207.13904496040954,207.13905343141906,7551064.447485597,96.29553505498377,867964.5311792709,40.796010358562974,-1,-0.04089527967784397,0.9996965869194634,0.0,0.599817952151678,4.0,0.15384615384615385,1.5384615384615385,O2,de-protonated,,0.0,,C13 H20 O2,13.0,20.0,2.0,,,,,,,
62,187,209.01271629780743,209.01254519115784,209.0125327617991,2143916.445477446,28.577843269625404,890718.84820649,11.422449821731407,-1,0.05946705005356201,0.9993585433808208,0.0,0.5996151260284924,2.0,1.0,1.6666666666666667,S1 O6,de-protonated,,0.0,,C6 H10 O6 S1,6.0,10.0,6.0,,,1.0,,,,
63,188,209.082095894527,209.08192473559953,209.08193247717907,3984918.2608669554,70.67295116705964,920269.2419284807,21.042209695293828,-1,-0.037026535223308135,0.999751271264976,0.0,0.5998507627589855,5.0,0.36363636363636365,1.2727272727272727,O4,de-protonated,,0.0,,C11 H14 O4,11.0,14.0,4.0,,,,,,,
64,189,209.08546798642053,209.0852968249522,209.0853037804991,24126341.367823094,130.02083238560883,928591.1673128525,131.22283586671531,-1,-0.03326655086819146,0.9996295144977831,0.9924313523579518,0.9967502496418505,0.0,0.5,2.25,S1 O4,de-protonated,,0.0,,C8 H18 O4 S1,8.0,18.0,4.0,,,1.0,,,,
65,191,209.15487894275864,209.15470772898962,209.15470349587906,39506269.002151385,106.27754562130349,939926.9709725183,209.61007445376305,-1,0.020239136334098386,0.9998053955193331,0.999989311544663,0.999878961929465,3.0,0.15384615384615385,1.6923076923076923,O2,de-protonated,,0.0,,C13 H22 O2,13.0,22.0,2.0,,,,,,,
66,193,210.07735683202407,210.07718492324645,210.07718144937905,1557607.8390520734,47.321592161649875,1097151.3567467993,8.252855333284137,-1,0.016536148146433765,0.999950385140801,0.0,0.5999702310844806,5.0,0.4,1.3,N1 O4,de-protonated,,0.0,,C10 H13 O4 N1,10.0,13.0,4.0,1.0,,,,,,
67,194,210.08884199754976,210.08867008011987,210.0886586155691,2304909.8406687994,59.63169645740188,905137.255556042,12.486199295650943,-1,0.05457006028813274,0.9994598114573979,0.9924313523579518,0.9966484278176195,0.0,0.5,2.25,13C1 S1 O4,de-protonated,,1.0,189.0,C7 H18 O4 S1 13C1,7.0,18.0,4.0,,,1.0,1.0,,,
