,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
3146,1430,334.15744834689815,334.157127311506,,2445815.1501384983,130.01929547473975,549882.652626142,12.992313212516429,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3147,1431,334.16075969503925,334.1604386562514,,1832815.0372919398,71.20889081192371,705211.625933364,9.661428367206595,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3148,1432,334.1738320958241,334.1735110436309,,11611975.70613211,168.22833828967453,633438.6806311026,60.48801744645715,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3149,1433,334.2157528504924,334.21543175531076,,2095902.3562332692,148.05636404156917,555679.9688907911,11.02890026056862,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3150,1434,334.2239250414156,334.22360393785357,,1737207.5523452323,102.01687455457763,704871.732368546,9.177226257105644,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3151,1435,334.25221478562764,334.25189365305505,,2898873.5737563036,150.4514766870634,627052.752248367,15.207138798555114,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3152,1437,334.2699424908676,334.2696213401155,,7150912.164706091,86.06313132750925,642751.2017788264,37.395301426257994,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3153,1438,334.93871699265696,334.93839515603844,,3558213.3258618517,77.00675633579321,651255.4140279432,19.06479297243631,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3154,1439,334.9931086336128,334.99278674120836,,1780799.3711306038,96.11239054096649,522968.33438463823,9.378090319262908,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3155,1440,335.0034310814136,335.0031091784221,,3021569.20884923,113.25279236064847,616500.1985885318,15.954725572941747,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3156,1441,335.0212545614653,335.0209326401933,,25800408.224162526,258.7754027677998,670941.3782230493,135.10835142509148,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3157,1442,335.0294922811064,335.02917035138535,,4553450.799717753,113.81669176436947,633917.5867304857,23.590220386072115,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3158,1443,335.03168635073695,335.0313644187656,,1594447.8067047207,88.7155101433494,638344.7049941544,8.396383843289003,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3159,1444,335.0906110887034,335.09028909629563,,2814427.5536573716,98.82755862518512,663186.3108411959,14.637802251513339,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3160,1445,335.12703508699343,335.12671305722694,,2308329.886236156,74.0903377761098,569172.9285082225,12.32320974718462,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3161,1446,335.1447848756927,335.1444628277209,,39726696.72129929,144.68884554405983,657589.6910799477,207.00438342161937,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3162,1448,335.16337349448145,335.16305142744375,,6552602.448724499,145.81414829649293,661662.0540545564,34.38899162178506,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3163,1449,335.1771912471785,335.17686916596824,,1573064.814171916,72.27079814838608,777441.928570771,8.186208202091338,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3164,1452,335.19975024856694,335.19942814421836,,2050258.2949476724,64.16734357195294,667573.8443383942,10.761524919551336,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3165,1453,335.2175718165265,335.2172496938987,,2858305.570846485,132.47312017045954,581168.5172733892,15.015586315438256,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3166,1455,335.2361907380406,335.2358685963155,,6638938.7493932145,192.75843490059913,629044.5308753547,35.043462605767665,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3167,1456,335.27324096070515,335.2729187809779,,1904561.3853160613,97.21874727217332,592834.5720430745,9.896878294371069,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3168,1457,335.95339135438155,335.9530684769768,,1662003.8831876228,124.49804408885203,634368.4133420158,8.873934825503952,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3169,1458,336.0207982364259,336.0204752898719,,5248177.017995837,134.94527565865934,725052.8183969293,27.200452602594034,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3170,1459,336.024624030234,336.02430107975533,,2089864.4653920536,117.77583872924198,531640.5430172217,11.181876201946666,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3171,1460,336.12222505292823,336.12190200232396,,2294759.9711719793,135.79631148100486,612483.9556941058,12.009276510965323,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3172,1462,336.1481623958573,336.14783931864446,,5984149.853346906,93.35310934072218,660938.4160224149,31.276263771136097,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3173,1463,336.15863025497316,336.15830716702146,,1921551.560122429,108.52581318109061,568289.4127471548,10.13099799595834,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3174,1465,336.17084431819796,336.1705212177161,,1668340.9991103276,135.15627224202143,635189.0440342671,8.719628658548704,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3175,1466,336.19502286242067,336.1946997371343,,12066018.10869515,110.8183750009646,647967.5702320721,63.52093176247409,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
