,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O
662,1923,402.1772553163729,402.1769527684589,402.17695506290903,4475130.871379286,112.59312308312965,549051.8015295558,23.369214514850434,-1,-0.005705076151978387,0.9999940942448488,0.0,0.5999964565469093,5.0,0.5,1.6111111111111112,N1 O9,de-protonated,,0.0,,C18 H29 O9 N1,18.0,29.0,9.0,1.0,,,,
663,1924,402.1853697308488,402.18506717703053,402.1850609257791,4824177.203665662,153.2805150647158,573056.9155438504,24.70541681602278,-1,0.015543221337258542,0.9999561644588568,0.9995605595799902,0.9997979225073101,5.0,0.47368421052631576,1.5789473684210527,13C1 O9,de-protonated,,1.0,1915.0,C18 H30 O9 13C1,18.0,30.0,9.0,,,,1.0,
664,1925,402.2136083811171,402.21330580675175,402.213340572259,2397383.6120690554,84.44277867150858,441824.84579859854,12.260242166897124,-1,-0.08643549025657747,0.9986452982507454,0.0,0.5991871789504473,4.0,0.42105263157894735,1.736842105263158,N1 O8,de-protonated,,0.0,,C19 H33 O8 N1,19.0,33.0,8.0,1.0,,,,
665,1926,402.2217298441106,402.22142726383584,402.22144643512905,3078369.5897625084,57.84994379720285,589413.5407787107,16.263639704717576,-1,-0.04766352810805523,0.9995878676629467,0.9974646822257023,0.9987385934880488,4.0,0.4,1.7,13C1 O8,de-protonated,,1.0,1918.0,C19 H34 O8 13C1,19.0,34.0,8.0,,,,1.0,
666,1929,403.04073465546196,403.0404314792819,403.04041853714904,2492244.574164491,212.5240619742053,501283.5263144084,13.067693849866766,-1,0.032111253015667904,0.9998129198513914,0.0,0.5998877519108349,3.0,0.7272727272727273,1.9090909090909092,N2 S2 P1 O8,de-protonated,,0.0,,C11 H21 O8 N2 P1 S2,11.0,21.0,8.0,2.0,1.0,2.0,,
667,1933,403.1248997510756,403.12459651365964,403.1245851364691,4707229.50264674,160.50512462306943,552106.5044640895,24.379831459986633,-1,0.028222517255981495,0.9998554846630702,0.0,0.5999132907978421,6.0,0.6470588235294118,1.411764705882353,O11,de-protonated,,0.0,,C17 H24 O11,17.0,24.0,11.0,,,,,
668,1935,403.16125090716923,403.16094764330546,403.1609706458191,12429277.08720247,128.42254192152453,545000.0509381553,64.29920079286646,-1,-0.05705540786328735,0.9996096721697738,0.9980948664146648,0.9990037498677302,5.0,0.5555555555555556,1.5555555555555556,O10,de-protonated,,0.0,,C18 H28 O10,18.0,28.0,10.0,,,,,
669,1938,403.1976462670543,403.1973429767106,403.1973561551691,12640475.144780038,219.95059669695456,556033.1341327887,64.84618419100718,-1,-0.03268488311846595,0.9997111820831163,0.9855343865957297,0.9940404638881616,4.0,0.47368421052631576,1.6842105263157894,O9,de-protonated,,0.0,,C19 H32 O9,19.0,32.0,9.0,,,,,
670,1940,403.23401829032485,403.23371497351826,403.2337416645191,6072483.695588057,137.87242922909425,555644.4119584416,30.901957312102713,-1,-0.06619237939272712,0.9992053110172944,0.0,0.5995231866103766,3.0,0.4,1.8,O8,de-protonated,,0.0,,C20 H36 O8,20.0,36.0,8.0,,,,,
671,1941,403.2703824664348,403.2700791231711,403.27012717386907,1745698.5145457382,137.8206303437196,551528.4556149254,9.044761190684143,-1,-0.11915263422163293,0.997427224723329,0.0,0.5984563348339974,2.0,0.3333333333333333,1.9047619047619047,O7,de-protonated,,0.0,,C21 H40 O7,21.0,40.0,7.0,,,,,
672,1942,404.1201373111843,404.11983334969693,404.11983410866907,3626964.6400362686,146.49667798387415,582898.5433276225,18.558365294060337,-1,-0.0018780868219242677,0.9999993599925638,0.0,0.5999996159955383,6.0,0.6875,1.4375,N1 O11,de-protonated,,0.0,,C16 H23 O11 N1,16.0,23.0,11.0,1.0,,,,
673,1943,404.1565209344937,404.1562169465371,404.15621961801907,7646805.47228471,239.7658523743457,533810.0112858103,39.36717656904251,-1,-0.006610023179050468,0.9999920721016778,0.0,0.5999952432610067,5.0,0.5882352941176471,1.588235294117647,N1 O10,de-protonated,,0.0,,C17 H27 O10 N1,17.0,27.0,10.0,1.0,,,,
674,1944,404.16461639022623,404.1643123963801,404.1643254808891,2453644.298488589,152.3490040202118,565754.4425491842,12.81894663785515,-1,-0.032374230330060094,0.999809843385178,0.9980948664146648,0.9991238525969728,5.0,0.5555555555555556,1.5555555555555556,13C1 O10,de-protonated,,1.0,1935.0,C17 H28 O10 13C1,17.0,28.0,10.0,,,,1.0,
675,1945,404.1928945408132,404.1925905263947,404.19260512736906,5571351.643495716,139.25743206426904,530794.1931512508,29.28184458046685,-1,-0.03612380373539379,0.9997632503412239,0.0,0.5998579502047343,4.0,0.5,1.7222222222222223,N1 O9,de-protonated,,0.0,,C18 H31 O9 N1,18.0,31.0,9.0,1.0,,,,
676,1946,404.2010336023818,404.20072958204213,404.20071099023914,2868044.8650240796,56.06690049800322,541882.585524612,14.991252133328318,-1,0.04599646284317362,0.9996161872991878,0.9855343865957297,0.9939834670178045,4.0,0.47368421052631576,1.6842105263157894,13C1 O9,de-protonated,,1.0,1938.0,C18 H32 O9 13C1,18.0,32.0,9.0,,,,1.0,
677,1952,405.14051463599094,405.1402099322049,405.1402352009291,3496885.4525792496,87.40233365970987,517137.0732207864,17.839472827932525,-1,-0.06237031524235634,0.9992944034589795,0.0,0.5995766420753876,5.0,0.6470588235294118,1.5294117647058822,O11,de-protonated,,0.0,,C17 H26 O11,17.0,26.0,11.0,,,,,
678,1955,405.17690212234396,405.1765973920882,405.1766207102791,6063357.972172527,160.76161374601628,536013.7764652177,30.826421509502328,-1,-0.05755068218330369,0.9993992077979598,0.0,0.5996395246787758,4.0,0.5555555555555556,1.6666666666666667,O10,de-protonated,,0.0,,C18 H30 O10,18.0,30.0,10.0,,,,,
679,1959,405.2132647704201,405.21296001371263,405.2130062196291,4235765.454918909,132.5270059116214,551590.1580830698,21.81161417157351,-1,-0.11402871025082312,0.9976434859204876,0.0,0.5985860915522925,3.0,0.47368421052631576,1.7894736842105263,O9,de-protonated,,0.0,,C19 H34 O9,19.0,34.0,9.0,,,,,
