,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
42,570,180.0385242551767,180.03832858565096,180.03833711886907,4524732.215345095,64.38655249876615,937956.3689704632,23.213439069812953,-1,-0.047396672529794216,0.9995924686479345,0.9893780325250638,0.9955066941987862,6.0,0.4444444444444444,0.8888888888888888,13C1 O4,de-protonated,,1.0,548.0,C8 H8 O4 13C1,8.0,8.0,4.0,,,,1.0,,
43,584,181.014410154029,181.01421323844104,181.01424683890906,123505423.97907647,67.94904012445292,930160.7136736288,637.9697008609354,-1,-0.18562333408452855,0.4968837515651401,0.9203646850869849,0.666276124973878,6.0,0.625,0.75,O5,de-protonated,,0.0,,C8 H6 O5,8.0,6.0,5.0,,,,,,
44,590,181.05080701047498,181.0506100483911,181.05063234825906,26842172.3528982,92.52725407935635,916467.2058793346,134.9806953697043,-1,-0.12316923545316981,0.49862554438269074,0.9112932940309506,0.6636926442419947,5.0,0.4444444444444444,1.1111111111111112,O4,de-protonated,,0.0,,C9 H10 O4,9.0,10.0,4.0,,,,,,
45,594,181.0872120510202,181.08701504242828,181.08701785760908,11105149.6506517,66.25070275758556,959141.6373350885,57.16633943635369,-1,-0.01554601119394383,0.9999561487216851,0.0,0.5999736892330111,4.0,0.3,1.4,O3,de-protonated,,0.0,,C10 H14 O3,10.0,14.0,3.0,,,,,,
46,603,182.04604575145606,182.0458475173551,182.0458813204591,3306338.1018705633,108.72865416075462,959708.2099198893,17.106279260842026,-1,-0.1856845305031814,0.9937634058291931,0.0,0.5962580434975159,5.0,0.5,1.125,N1 O4,de-protonated,,0.0,,C8 H9 O4 N1,8.0,9.0,4.0,1.0,,,,,
47,611,182.99370550262077,182.99350605618747,182.9935113940191,10955644.636060756,68.69974060882166,898217.5202491587,54.943665628326855,-1,-0.029169513078123117,0.9998456243984115,0.0,0.5999073746390469,6.0,0.8571428571428571,0.5714285714285714,O6,de-protonated,,0.0,,C7 H4 O6,7.0,4.0,6.0,,,,,,
48,616,183.03007354121365,183.02987404823315,183.0298969033691,38749798.910174586,174.114129752946,903696.6397275856,196.84165425104925,-1,-0.12487105289982979,0.9972951135894484,0.9882118647749939,0.9936618140636666,5.0,0.625,1.0,O5,de-protonated,,0.0,,C8 H8 O5,8.0,8.0,5.0,,,,,,
49,621,183.06644644832167,183.06624690878616,183.0662824127191,24748592.19347554,94.82497274705341,890677.2028157975,125.75763769901351,-1,-0.19394031750150983,0.9961117339509861,0.9963650298740024,0.9962130523201926,4.0,0.4444444444444444,1.3333333333333333,O4,de-protonated,,0.0,,C9 H12 O4,9.0,12.0,4.0,,,,,,
50,624,183.1028267338106,183.10262714770897,183.1026679220691,5955839.112323676,64.34754122701767,962152.6841110295,30.369617825562894,-1,-0.22268577830445013,0.9910425086238305,0.0,0.5946255051742982,3.0,0.3,1.6,O3,de-protonated,,0.0,,C10 H16 O3,10.0,16.0,3.0,,,,,,
51,636,184.0334305383031,184.03322976049537,184.03325173843908,2820422.265796375,27.21442615742203,886851.604733482,14.504504546305945,-1,-0.11942376443151756,0.99741551793175,0.9882118647749939,0.9937340566690476,5.0,0.625,1.0,13C1 O5,de-protonated,,1.0,616.0,C7 H8 O5 13C1,7.0,8.0,5.0,,,,1.0,,
52,638,184.06174807240444,184.06154725831743,184.06153138491908,3589779.4115459598,129.85942983654382,913365.5250645488,18.799250432376486,-1,0.08623962994616856,0.9986514265875842,0.0,0.5991908559525505,4.0,0.5,1.375,N1 O4,de-protonated,,0.0,,C8 H11 O4 N1,8.0,11.0,4.0,1.0,,,,,
53,639,184.06982457619478,184.0696237517603,184.06963724778907,2517826.834117853,54.1934154424126,894206.516380244,13.185441118177872,-1,-0.0733202334332814,0.9990250334655775,0.9963650298740024,0.9979610320289474,4.0,0.4444444444444444,1.3333333333333333,13C1 O4,de-protonated,,1.0,621.0,C8 H12 O4 13C1,8.0,12.0,4.0,,,,1.0,,
