,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
18123,808,185.74151882087912,185.7412927020105,,3066266.7658320097,32.6893636522066,1158393.7620669296,15.545390601445161,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18124,809,186.0066665203692,186.00644001477806,,6575050.32252666,74.92368873566613,894794.4067586925,33.443934770155295,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18125,811,186.01718207856285,186.0169555576316,,2571613.413038491,57.338201526458874,863315.2151145678,13.095924332865138,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18126,812,186.0274385200952,186.0272119842016,,2224726.5185462018,17.50971807824316,1193538.9427110013,11.500257146213116,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18127,815,186.0597360252897,186.05950944227848,,1649703.0343849957,52.14313227147452,952293.6083385531,8.31933495683502,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18128,816,186.08547524802518,186.0852486274624,,1639509.6233803781,41.52807471348085,1247696.9372458092,8.49634208357619,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18129,818,186.1218655266389,186.1216388529832,,1650614.9388471167,53.44693473777868,1000407.5311490824,8.446884209927921,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18130,819,186.35279899908522,186.35257198843755,,4933893.007926433,57.73650729005612,1125261.2772613578,25.20789728472789,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18131,820,186.3649336072448,186.36470657888657,,7552242.706834492,56.58342167467552,1152865.9876702495,38.6500267331309,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18132,821,186.37705436370896,186.37682731766006,,5438160.932285195,67.60982366726624,1027433.0181777386,27.613111771622616,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18133,822,186.38918199468748,186.38895493093762,,5179212.8860035045,29.816218899250476,1176399.0890010793,26.821785793250324,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18134,823,186.4013122070225,186.40108512556756,,4634963.518626585,79.86674492173049,1082571.0196474947,24.062557052873252,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18135,824,186.4134431281871,186.4132160290258,,3661412.6448364174,69.53143206686207,1137596.760852071,19.075120952342623,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18136,825,186.6994175691274,186.6991900524685,,1845044.7195490918,42.45423123948228,1250012.9333952968,9.600033579727018,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18137,826,186.74794540149676,186.74771781397493,,1594080.035404556,41.22912762155573,1083698.182921928,8.238640531408898,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18138,827,186.97376799291604,186.97354007557252,,19425166.361418325,52.99927785396272,840902.6725004038,99.37388338927838,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18139,828,187.0144494151681,187.01422143839687,,10410828.826900527,50.6091653524784,966434.3154047416,53.14378675805499,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18140,830,187.03688440402829,187.03665639448243,,7087871.3121399125,47.446267780865135,1021464.9543248733,36.38017063727354,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18141,831,187.0402257005534,187.03999768612624,,4899452.863831232,51.62438267366544,962972.9196751462,25.697269929247593,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18142,832,187.04901932532414,187.0487912980503,,5601680.857748694,11.494965654941431,1127802.7098923505,28.883398210588666,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18143,834,187.07327279223256,187.07304472952575,,4677299.367938701,21.91228077347505,1154072.9988477572,24.406159122429646,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18144,835,187.08540863626814,187.0851805558311,,3511640.711855591,49.392753563108634,1094788.0619381361,17.69030049019111,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18145,837,187.35920269459803,187.35897421407302,,2142176.849390155,24.924083846940476,1109420.9779451643,10.917174846359847,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18146,838,187.37134049099265,187.37111199272746,,2347934.202113194,95.60347862367253,983776.8442704021,12.072927262140432,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18147,839,187.3834894939332,187.3832609779112,,1889468.3536196197,102.58118092242368,1198686.8893185419,9.751010246653312,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18148,840,187.3956033644177,187.39537483068983,,1685287.820744913,33.63975650569647,1030687.3622585024,8.54319691124297,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18149,841,187.5161293116954,187.51590060178864,,1707922.18686609,48.798860720911335,837947.7656399264,8.618685244706116,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18150,842,187.53434352694578,187.5341147904118,,2008466.244964347,30.755540922352154,1196670.7263942652,10.188321971543262,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18151,843,187.65774007475287,187.65751115780853,,1654715.8464996612,88.14890377472896,926986.3266236039,8.392220244316677,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18152,844,187.6845556687083,187.68432671255445,,2948648.270823685,24.00001233435029,1100052.9762973685,15.165345888147941,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18153,845,187.6896372071858,187.68940824360163,,1978999.341618401,61.36671133287586,1047811.5555349529,10.157085419765409,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18154,846,187.69667592852505,187.69644695464862,,7774793.655398651,72.36507120575551,1087951.9023535517,39.253933400836075,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18155,847,187.7088012206157,187.70857222900898,,6789246.425924174,44.61356973304079,1073525.0701554767,35.255654773270805,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18156,848,187.72093819537145,187.72070918601705,,6054420.755756282,46.61366034127105,1089766.2285921508,30.674293845852276,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18157,849,187.73306042565446,187.7328313985737,,6619446.504608289,49.38496293055779,1115152.0387268732,33.922895230749056,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18158,850,187.74518894394706,187.74495989913038,,4275189.656012202,128.25999882031468,988682.5781491903,22.479905096128668,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18159,851,187.75731034098814,187.7570812784457,,2748819.273921097,41.01122808353009,1109661.9032579062,14.1501579553677,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18160,852,187.96608806195806,187.96585869406144,,1814584.4200289142,39.22106035265132,1134160.4626589066,9.428232544948823,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18161,853,188.01171704739596,188.0114876127514,,3209400.3129381174,67.07062184227023,951509.4234441856,16.576196810114332,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18162,854,188.02232088941847,188.02209143926157,,10926416.183417354,62.43608140092978,939545.712289247,55.726008371690895,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18163,856,188.03119696379497,188.0309675006531,,1740179.9552756008,48.96151140196702,879709.5888869372,8.983111682114409,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18164,858,188.0404416068729,188.04021213020673,,5202876.481492904,79.8514092468317,917745.7066563768,27.071678207473155,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18165,859,188.04329657954597,188.04306709870312,,1606413.4617242322,51.212368225659105,1032928.9419114552,8.262067945242288,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
18166,860,188.0554195376616,188.0551900390833,,1753244.2068180726,33.79454428262371,1175434.6728022425,9.089836567355409,-1,,,,,,,,unassigned,,,,,,,,,,,,,,
