,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
11547,15144,764.3210993643565,764.3202031395518,764.3203891000289,3083288.2609951464,101.89916027408414,333627.7819567017,16.298717631988417,-1,-0.24330173543588654,0.49465824509220163,0.640033641715723,0.5528084037416101,30.0,0.057692307692307696,0.9038461538461539,N1 S1 O3,de-protonated,,0.0,,C52 H47 O3 N1 S1,52.0,47.0,3.0,1.0,,1.0,,,,,
11548,15144,764.3210993643565,764.3202031395518,764.320250715599,3083288.2609951464,101.89916027408414,333627.7819567017,16.298717631988417,-1,-0.06224622082757743,0.9992972074447356,0.0,0.5995783244668413,3.0,0.5161290322580645,1.903225806451613,N1 S2 O16,de-protonated,,0.0,,C31 H59 O16 N1 S2,31.0,59.0,16.0,1.0,,2.0,,,,,
11549,15145,765.0591254103146,765.0582281781254,765.0580812677091,4950566.678554671,200.8816406979778,279041.0937743252,26.450170394333988,-1,0.1920251807418075,0.4966658268848757,0.7311359101322888,0.5904538601838409,24.0,0.6176470588235294,0.6470588235294118,O21,de-protonated,,0.0,,C34 H22 O21,34.0,22.0,21.0,,,,,,,,
11550,15146,765.0801940397279,765.0792967787778,765.0792106357691,1916810.9076968846,140.754605153048,276414.91661542485,10.17742332061192,-1,0.1125935818569611,0.9977023615276367,0.0,0.598621416916582,19.0,0.7419354838709677,0.8387096774193549,O23,de-protonated,,0.0,,C31 H26 O23,31.0,26.0,23.0,,,,,,,,
11551,15147,765.0954957473314,765.0945984654929,765.094466777059,6002503.8225821145,191.86633736971118,293949.6844362052,32.210237849823976,-1,0.1721204892616634,0.9965435874531824,0.984512232151317,0.9917310453324362,23.0,0.5714285714285714,0.7428571428571429,O20,de-protonated,,0.0,,C35 H26 O20,35.0,26.0,20.0,,,,,,,,
11552,15148,765.1167322384889,765.1158349276601,765.1159524607391,2914028.0419963733,430.4731286041379,283628.15006913105,15.3684994540846,-1,-0.15361472808660812,0.9957274209516335,0.0,0.5974364525709801,35.0,0.13043478260869565,0.5652173913043478,N2 S2 O6,de-protonated,,0.0,,C46 H26 O6 N2 S2,46.0,26.0,6.0,2.0,,2.0,,,,,
11553,15149,765.1318839182462,765.1309865867336,765.130852286409,5766667.849980215,199.4417725476815,288929.88182025636,31.134989281601577,-1,0.1755259563615189,0.4972126393035427,0.7197526373226639,0.5862286385111912,22.0,0.5277777777777778,0.8333333333333334,O19,de-protonated,,0.0,,C36 H30 O19,36.0,30.0,19.0,,,,,,,,
11554,15150,765.1532980497191,765.1524006889734,765.1523379700891,4202818.334161179,165.87106138783142,263628.5188396803,22.58898921208493,-1,0.08196914684640845,0.4993907999143944,0.6629808336684155,0.5648268134160028,34.0,0.10638297872340426,0.6382978723404256,N2 S2 O5,de-protonated,,0.0,,C47 H30 O5 N2 S2,47.0,30.0,5.0,2.0,,2.0,,,,,
11555,15150,765.1532980497191,765.1524006889734,765.1524709118189,4202818.334161179,165.87106138783142,263628.5188396803,22.58898921208493,-1,-0.0917762774548284,0.4992364229257455,0.7197526373226639,0.5874429086845129,21.0,0.3611111111111111,0.9722222222222222,N2 S1 P1 O13,de-protonated,,0.0,,C36 H35 O13 N2 P1 S1,36.0,35.0,13.0,2.0,1.0,1.0,,,,,
11556,15151,765.1682235276944,765.1673261465735,765.167237795759,3409374.901445278,192.85547071333895,297041.56102045916,18.369616693746732,-1,0.11546601859547832,0.9975837770487568,0.0,0.598550266229254,21.0,0.4864864864864865,0.918918918918919,O18,de-protonated,,0.0,,C37 H34 O18,37.0,34.0,18.0,,,,,,,,
