,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,17O,18O,34S
25,516,175.0250260504231,175.02481316516906,175.0248115229391,77509471.34557866,147.37155979761172,1045294.9838112638,400.4946584621467,-1,0.009382840904772732,0.4999920129009765,0.9390602752728997,0.6756193178497458,3.0,1.0,1.3333333333333333,O6,de-protonated,,0.0,,C6 H8 O6,6.0,8.0,6.0,,,,,,,
26,525,175.07665172953938,175.07643877277596,175.07645317357907,3816145.0452423077,24.782216567201075,991493.1452847257,19.963630518354584,-1,-0.08225436858556463,0.9987731111425009,0.0,0.5992638666855005,6.0,0.18181818181818182,1.0909090909090908,O2,de-protonated,,0.0,,C11 H12 O2,11.0,12.0,2.0,,,,,,,
27,554,177.0195310408123,177.01931538850548,177.01933221933908,20015765.751087595,102.20465472321885,886152.3385824414,104.29548397451737,-1,-0.09507907068948995,0.9990823561768634,0.9972467478961882,0.9983481128645934,7.0,0.4444444444444444,0.6666666666666666,O4,de-protonated,,0.0,,C9 H6 O4,9.0,6.0,4.0,,,,,,,
28,560,177.05594187828189,177.05572617537769,177.05571772868907,11337415.409082705,56.369239813604224,941148.4037991313,57.89979595191388,-1,0.04770638711435495,0.9995871263046748,0.0,0.5997522757828049,6.0,0.3,1.0,O3,de-protonated,,0.0,,C10 H10 O3,10.0,10.0,3.0,,,,,,,
29,564,177.0923050333808,177.0920892799425,177.09210323803907,5349432.506959737,58.69829893854707,1033737.7787229766,27.780524367757806,-1,-0.07881828892562982,0.9988734172840633,0.0,0.599324050370438,5.0,0.18181818181818182,1.2727272727272727,O2,de-protonated,,0.0,,C11 H14 O2,11.0,14.0,2.0,,,,,,,
30,577,178.02290995829944,178.02269291058155,178.0226870544091,1882206.3332974466,56.241472312193466,1100569.7402855728,9.676303235413554,-1,0.03289565257770519,0.9998036693046954,0.9972467478961882,0.9987809007412926,7.0,0.4444444444444444,0.6666666666666666,13C1 O4,de-protonated,,1.0,554.0,C8 H6 O4 13C1,8.0,6.0,4.0,,,,1.0,,,
31,598,179.0351968518147,179.03497839400094,179.03498228379908,40920909.292024896,83.69324974658176,906803.8959464452,212.21497264471492,-1,-0.0217264698066584,0.49995717636127135,0.9112932940309506,0.6644916234291431,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,,,,
32,606,179.0715960753577,179.07137756679757,179.07136779314908,11733280.715581128,86.05470125694191,891671.3214793238,60.91277660006661,-1,0.05457962714273063,0.9994596220875666,0.0,0.59967577325254,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,,,,
33,609,179.10798510734637,179.1077665480511,179.10775330249908,3456507.4000828047,29.729426483436285,1156288.6678828986,18.046279196802853,-1,0.07395297959823001,0.9990081415146569,0.0,0.5994048849087941,4.0,0.18181818181818182,1.4545454545454546,O2,de-protonated,,0.0,,C11 H16 O2,11.0,16.0,2.0,,,,,,,
34,625,180.03042401427336,180.03020416787913,180.03023125599907,3908750.9646687377,40.64880553677266,898528.7438395845,19.984700313096912,-1,-0.15046428450703483,0.9959005182119929,0.0,0.5975403109271957,6.0,0.5,0.875,N1 O4,de-protonated,,0.0,,C8 H7 O4 N1,8.0,7.0,4.0,1.0,,,,,,
35,628,180.06680152694264,180.06658162975083,180.06661676534907,1789536.011572511,25.398001847353513,1392767.562584926,9.218035199767948,-1,-0.19512555336480386,0.9931153347077978,0.0,0.5958692008246786,5.0,0.3333333333333333,1.2222222222222223,N1 O3,de-protonated,,0.0,,C9 H11 O3 N1,9.0,11.0,3.0,1.0,,,,,,
36,650,181.0508112808582,181.05059000846444,181.05063234825906,30045090.76574143,85.99125262850731,851820.371825184,154.52587464022432,-1,-0.23385609908520696,0.99344483114062,0.9996909466581188,0.9959432773476196,5.0,0.4444444444444444,1.1111111111111112,O4,de-protonated,,0.0,,C9 H10 O4,9.0,10.0,4.0,,,,,,,
37,672,182.0460671768135,182.04584451128386,182.0458813204591,2576957.195786937,60.31688140056448,843715.9472531092,13.368784764006316,-1,-0.20219724266803743,0.992609149478033,0.0,0.5955654896868198,5.0,0.5,1.125,N1 O4,de-protonated,,0.0,,C8 H9 O4 N1,8.0,9.0,4.0,1.0,,,,,,
38,674,182.05418552730958,182.05396285040692,182.05398718332907,2935820.8941741055,60.1484805125333,983827.6555046958,15.054368343392456,-1,-0.13365772718488894,0.9967637781502828,0.9996909466581188,0.9979346455534173,5.0,0.4444444444444444,1.1111111111111112,13C1 O4,de-protonated,,1.0,650.0,C8 H10 O4 13C1,8.0,10.0,4.0,,,,1.0,,,
39,697,183.048708719794,183.0484846485358,183.04852434797905,6340020.049278483,49.169570635459706,1159143.4138767952,32.784600619060406,-1,-0.21687934054988495,0.9915015794303668,0.0,0.59490094765822,4.0,0.2222222222222222,1.3333333333333333,S1 O2,de-protonated,,0.0,,C9 H12 O2 S1,9.0,12.0,2.0,,,1.0,,,,
40,717,184.02539416927686,184.0251687265056,184.02514587556908,2606707.2527147382,22.748601611084666,1136034.023203139,13.705901479883543,-1,0.12417290261335678,0.9972061691125529,0.0,0.5983237014675317,5.0,0.7142857142857143,1.0,N1 O5,de-protonated,,0.0,,C7 H7 O5 N1,7.0,7.0,5.0,1.0,,,,,,
41,742,185.00939832233226,185.00917149559928,185.00916145847907,26249316.244509775,30.034169429217318,892691.7370250471,136.57440951976193,-1,0.05425201717618735,0.4997330440220648,0.929618492764518,0.6716872235190461,5.0,0.8571428571428571,0.8571428571428571,O6,de-protonated,,0.0,,C7 H6 O6,7.0,6.0,6.0,,,,,,,
42,751,185.04577879082706,185.04555191288466,185.04554696782907,55792893.866168655,74.00608401897152,1010921.8246037645,290.9317258020476,-1,0.02672345092590867,0.9988743499483705,0.9885429964204401,0.9947418085371983,4.0,0.625,1.25,O5,de-protonated,,0.0,,C8 H10 O5,8.0,10.0,5.0,,,,,,,
43,757,185.0821399394157,185.0819130102881,185.08193247717907,14765090.773997843,51.44044473048932,900973.1075852481,75.13488805113715,-1,-0.10517985575841975,0.9979946824410661,0.0,0.5987968094646396,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,,,,
44,758,185.1185113142433,185.11828433391312,185.1183179865291,12651314.038021605,64.69170142474837,886964.3328276267,65.94845754348269,-1,-0.18178976740161362,0.994021513693529,0.0,0.5964129082161174,2.0,0.3,1.8,O3,de-protonated,,0.0,,C10 H18 O3,10.0,18.0,3.0,,,,,,,
45,777,186.04910996515258,186.0488816737396,186.04890180289908,4082181.5315819457,78.99887827542273,879705.7423899982,21.080329639697904,-1,-0.10819284223402814,0.9978782717798108,0.9885429964204401,0.9941441616360625,4.0,0.625,1.25,13C1 O5,de-protonated,,1.0,751.0,C7 H10 O5 13C1,7.0,10.0,5.0,,,,1.0,,,
46,792,187.02505030970508,187.02482064123527,187.0248115229391,88017762.87734509,77.57541108927173,901555.5781305521,457.80450016127537,-1,0.04875447320769368,0.9983171645663581,0.9996868925093435,0.9988650557435522,4.0,0.8571428571428571,1.1428571428571428,O6,de-protonated,,0.0,,C7 H8 O6,7.0,8.0,6.0,,,,,,,
47,797,187.0614372225631,187.06120750270966,187.06119703228907,46748069.855812594,101.47954684328698,896277.9677662711,242.72403543160405,-1,0.055973236337110585,0.9991576591842055,0.9925830022428885,0.9965277964076787,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,,,,
48,800,187.13419414703293,187.1339643244273,187.13396805098907,2135102.664353929,49.75790594846326,1110045.9667580368,11.114316726577355,-1,-0.01991387138779424,0.9999280468851551,0.0,0.5999568281310931,1.0,0.3,2.0,O3,de-protonated,,0.0,,C10 H20 O3,10.0,20.0,3.0,,,,,,,
49,818,188.02837351515558,188.0281424287566,188.0281663580091,6695734.184125941,63.679162599813374,955098.1654392076,34.807300914323775,-1,-0.1272641910075397,0.9970655394186402,0.9996868925093435,0.9981140806549215,4.0,0.8571428571428571,1.1428571428571428,13C1 O6,de-protonated,,1.0,792.0,C6 H8 O6 13C1,6.0,8.0,6.0,,,,1.0,,,
50,820,188.03550603261962,188.03527493613262,188.0353166364291,3586633.109282264,88.0440975595,900095.5914361771,19.0102223062643,-1,-0.22176842738811345,0.9911158290018184,0.0,0.594669497401091,8.0,0.3,0.7,N1 O3,de-protonated,,0.0,,C10 H7 O3 N1,10.0,7.0,3.0,1.0,,,,,,
51,824,188.0566673769513,188.05643625053366,188.0564460044891,1933143.082210429,39.1975199494185,1064209.606433075,9.960745464434966,-1,-0.05186716877789028,0.9995119852819254,0.0,0.5997071911691553,3.0,0.7142857142857143,1.5714285714285714,N1 O5,de-protonated,,0.0,,C7 H11 O5 N1,7.0,11.0,5.0,1.0,,,,,,
52,825,188.06476824972637,188.0645371118506,188.06455186735909,3638859.2248600395,39.81053859222852,886532.7902799097,18.889070986495923,-1,-0.07845980723873128,0.9988836361269801,0.9925830022428885,0.9963633825733434,3.0,0.625,1.5,13C1 O5,de-protonated,,1.0,797.0,C7 H12 O5 13C1,7.0,12.0,5.0,,,,1.0,,,
53,836,189.00430650987758,189.00407404208434,189.00407607804908,6842930.116218361,125.38804205135267,1010154.9663403258,36.071488598863375,-1,-0.010772067899518952,0.999978945379361,0.0,0.5999873672276166,4.0,1.1666666666666667,1.0,O7,de-protonated,,0.0,,C6 H6 O7,6.0,6.0,7.0,,,,,,,
54,842,189.04070180147622,189.04046928212543,189.04046158739908,52056457.27861111,137.79842182087683,933694.9163176293,267.5863932275496,-1,0.04070412378817685,0.4998497081694077,0.929618492764518,0.6717572220074519,3.0,0.8571428571428571,1.4285714285714286,O6,de-protonated,,0.0,,C7 H10 O6,7.0,10.0,6.0,,,,,,,
55,848,189.07709663610015,189.07686406518945,189.07684709674908,19812251.616554968,68.65029871477594,940392.1664252885,102.69417957410053,-1,0.08974361820492044,0.49926984731210355,0.9203646850869849,0.6677077824220561,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,,,,
56,850,189.1134953872488,189.1132627647697,189.11323260609907,4947999.532678828,62.696752238711895,818787.6151521738,25.873707943577237,-1,0.1594741426082065,0.9953960275410868,0.0,0.597237616524652,1.0,0.4444444444444444,2.0,O4,de-protonated,,0.0,,C9 H18 O4,9.0,18.0,4.0,,,,,,,
57,884,190.99884162950318,190.9986063318572,190.99859677444908,14773991.19012002,72.52127307068051,881122.3597395333,77.05223937268889,-1,0.050039153518529056,0.9995457707639601,0.0,0.599727462458376,8.0,0.5555555555555556,0.4444444444444444,O5,de-protonated,,0.0,,C9 H4 O5,9.0,4.0,5.0,,,,,,,
58,889,191.03521794041262,191.03498259107266,191.03498228379908,28625242.09232929,104.89858259582768,875076.0492262157,147.7414007331951,-1,0.001608467606971409,0.49999976528093376,0.9023989783818296,0.6609594505212921,7.0,0.4,0.8,O4,de-protonated,,0.0,,C10 H8 O4,10.0,8.0,4.0,,,,,,,
59,893,191.05630218411235,191.05606680480844,191.05611165185908,32076462.008709043,83.48233723593398,848919.7703982027,166.2828201064426,-1,-0.2347323530130131,0.49502605962689117,0.9296184927645179,0.6688630328819418,2.0,0.8571428571428571,1.7142857142857142,O6,de-protonated,,0.0,,C7 H12 O6,7.0,12.0,6.0,,,,,,,
60,896,191.0715841105865,191.071348709564,191.07136779314908,10358414.567630604,116.0057079315684,818574.489857176,53.264441108602,-1,-0.09987673869449654,0.998191620592457,0.0,0.5989149723554742,6.0,0.2727272727272727,1.0909090909090908,O3,de-protonated,,0.0,,C11 H12 O3,11.0,12.0,3.0,,,,,,,
61,899,191.10795540390598,191.10771995119066,191.10775330249908,5063011.824262894,48.59074779583709,839379.469592759,26.363580671336333,-1,-0.1745157265514216,0.9944890873016848,0.0,0.5966934523810109,5.0,0.16666666666666666,1.3333333333333333,O2,de-protonated,,0.0,,C12 H16 O2,12.0,16.0,2.0,,,,,,,
62,914,192.030488954669,192.03025218980503,192.03023125599907,3745114.668275169,49.29427102138577,1059792.536976528,19.363141368198274,-1,0.10901307476081563,0.9978460141083647,0.0,0.5987076084650188,7.0,0.4444444444444444,0.7777777777777778,N1 O4,de-protonated,,0.0,,C9 H7 O4 N1,9.0,7.0,4.0,1.0,,,,,,
63,938,193.03562859547688,193.03539039879033,193.0353762069691,8341384.755168748,81.7225211845464,1010387.1287407584,42.855962505892585,-1,0.07351927670082982,0.9990197353739232,0.0,0.5994118412243539,2.0,1.1666666666666667,1.6666666666666667,O7,de-protonated,,0.0,,C6 H10 O7,6.0,10.0,7.0,,,,,,,
64,944,193.08721253905767,193.0869742688284,193.08701785760908,11951317.300770832,52.5675425563381,878593.39811088,60.828497421097296,-1,-0.22574682210058405,0.9907957008989534,0.0,0.594477420539372,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,,,,
65,960,194.009759512545,194.009519926038,194.00949581110908,2149101.9592367946,39.24464953756001,864540.5605459547,11.301311154915505,-1,0.12429767325922587,0.997200559602211,0.0,0.5983203357613266,7.0,0.625,0.625,N1 O5,de-protonated,,0.0,,C8 H5 O5 N1,8.0,5.0,5.0,1.0,,,,,,
66,988,195.05124758732563,195.05100651253525,195.05102627142907,4009010.715548277,88.15893327000342,885772.7557368745,20.590456911938805,-1,-0.10130115278687883,0.9981397199216482,0.0,0.5988838319529889,1.0,1.1666666666666667,2.0,O7,de-protonated,,0.0,,C6 H12 O7,6.0,12.0,7.0,,,,,,,
67,1006,196.02538433523324,196.0251418661946,196.02514587556908,7907770.991964204,126.69959139834164,820828.6424394134,41.14930913176412,-1,-0.020453368239795565,0.9999240955880361,0.0,0.5999544573528216,6.0,0.625,0.875,N1 O5,de-protonated,,0.0,,C8 H7 O5 N1,8.0,7.0,5.0,1.0,,,,,,
68,1022,197.00938691471308,197.00914303513704,197.00916145847907,189776462.89961746,135.3437360475822,863637.9098674057,995.842778701331,-1,-0.09351515376581007,0.9971380585334034,0.996928816464502,0.9970543617058428,6.0,0.75,0.75,O6,de-protonated,,0.0,,C8 H6 O6,8.0,6.0,6.0,,,,,,,
69,1028,197.04580316029845,197.04555922847905,197.04554696782907,52072365.39131511,90.71956653558962,803966.8273183599,271.96891053395353,-1,0.0622224159346315,0.9990091359413529,0.9903026989189445,0.9955265611323895,5.0,0.5555555555555556,1.1111111111111112,O5,de-protonated,,0.0,,C9 H10 O5,9.0,10.0,5.0,,,,,,,
70,1033,197.08218349506922,197.08193951105497,197.08193247717907,28099166.85499014,62.29022131347108,826483.4957577585,145.929398385355,-1,0.035690110273687355,0.9996570798558208,0.9804662356859168,0.9919807421878593,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,,,,
71,1035,197.11857252893665,197.1183284927121,197.1183179865291,3310096.214237557,59.210906982461594,817771.0921908442,17.108673330769314,-1,0.05329886694451086,0.9994846789808675,0.0,0.5996908073885204,3.0,0.2727272727272727,1.6363636363636365,O3,de-protonated,,0.0,,C11 H18 O3,11.0,18.0,3.0,,,,,,,
72,1045,198.00466203598555,198.00441672749633,198.0044104306791,10050292.304797463,147.0641703391744,885771.086333165,51.4524387607619,-1,0.03180139893590941,0.9998165125220747,0.0,0.5998899075132448,6.0,0.8571428571428571,0.7142857142857143,N1 O6,de-protonated,,0.0,,C7 H5 O6 N1,7.0,5.0,6.0,1.0,,,,,,
73,1047,198.01272609543625,198.0124807753604,198.0125162935491,15733172.95882841,107.0322382037227,883796.4381125193,82.6568047741478,-1,-0.17937345269491298,0.9957262093895624,0.996928816464502,0.9962072522195382,6.0,0.75,0.75,13C1 O6,de-protonated,,1.0,1022.0,C7 H6 O6 13C1,7.0,6.0,6.0,,,,1.0,,,
74,1052,198.04916381137488,198.04891843894254,198.04890180289908,4467153.7608672585,124.59405140831966,1023988.1453074,23.53496072717897,-1,0.0839996753497075,0.9987205271899986,0.9903026989189445,0.9953533958815769,5.0,0.5555555555555556,1.1111111111111112,13C1 O5,de-protonated,,1.0,1028.0,C8 H10 O5 13C1,8.0,10.0,5.0,,,,1.0,,,
75,1054,198.08554265455513,198.08529722984792,198.08528731224908,3728077.4482766935,84.58003223242925,816981.0641070226,19.173513215517332,-1,0.05006731686055827,0.9995452594322319,0.9804662356859168,0.9919136499337058,4.0,0.4,1.4,13C1 O4,de-protonated,,1.0,1033.0,C9 H14 O4 13C1,9.0,14.0,4.0,,,,1.0,,,
76,1066,198.98862594435238,198.98837922099767,198.98842601358908,61034715.18209163,110.89417121184246,895410.7950849595,312.3386372602516,-1,-0.23515232690955243,0.9907544375610398,0.9984038894166735,0.9938142183032933,6.0,1.0,0.5714285714285714,O7,de-protonated,,0.0,,C7 H4 O7,7.0,4.0,7.0,,,,,,,
77,1069,199.00728899006256,199.0070422398508,199.0070534581991,9890796.956728008,61.64244389590498,910868.1051965066,50.84141471323442,-1,-0.05637161151062393,0.9994235660813667,0.0,0.59965413964882,5.0,0.5,1.0,S1 O4,de-protonated,,0.0,,C8 H8 O4 S1,8.0,8.0,4.0,,,1.0,,,,
78,1070,199.0136371627087,199.01339040336137,199.0134064517691,2407047.755565614,46.68968514606227,1113229.731536854,12.884179484932801,-1,-0.08063983234079233,0.9972734919350931,0.996928816464502,0.9971356217468567,6.0,0.75,0.75,O5 18O1,de-protonated,,1.0,1022.0,C8 H6 O5 18O1,8.0,6.0,5.0,,,,,,1.0,
79,1072,199.02504796911427,199.02480119334564,199.0248115229391,55551812.36417051,116.34302768412586,923055.3059312284,285.8749750638892,-1,-0.05190103377557989,0.9952218018313631,0.986856686078741,0.9918757555303142,5.0,0.75,1.0,O6,de-protonated,,0.0,,C8 H8 O6,8.0,8.0,6.0,,,,,,,
80,1076,199.0402739058858,199.04002710820507,199.04006766422907,2369634.1751439185,83.0197499914504,854698.4802413902,12.262620540034163,-1,-0.2037580899158778,0.992495033675132,0.0,0.5954970202050792,9.0,0.25,0.6666666666666666,O3,de-protonated,,0.0,,C12 H8 O3,12.0,8.0,3.0,,,,,,,
81,1080,199.0614549650594,199.0612081368955,199.06119703228907,61123772.53982598,58.19493879281866,936574.1839785692,313.5185457658219,-1,0.05578488716234105,0.49971774974566807,0.9112932940309506,0.6643479674597811,4.0,0.5555555555555556,1.3333333333333333,O5,de-protonated,,0.0,,C9 H12 O5,9.0,12.0,5.0,,,,,,,
82,1086,199.09783528244503,199.09758840192123,199.0975825416391,14432850.530535342,87.81123013510762,911432.5346871716,75.24023702484878,-1,0.029434220420845945,0.4999214050263636,0.9023989783818297,0.6609124343685501,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,,,,
83,1087,199.13420303376702,199.13395610089847,199.13396805098907,2158428.5370183326,37.72120689744615,901469.6360722245,11.1301190726341,-1,-0.0600103071929545,0.9993467737280455,0.0,0.5996080642368272,2.0,0.2727272727272727,1.8181818181818181,O3,de-protonated,,0.0,,C11 H20 O3,11.0,20.0,3.0,,,,,,,
