,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,34S
430,1018,317.1609135998741,317.160583908492,317.16057672264907,7225004.780643423,128.7359324181503,687964.1177085252,39.11741699501514,-1,0.022656797451656187,0.9999068611981236,0.0,0.5999441167188742,3.0,0.4666666666666667,1.7333333333333334,O7,de-protonated,,0.0,,C15 H26 O7,15.0,26.0,7.0,,,,,
431,1019,317.1973130967919,317.1969833683068,317.19696223199907,2931231.6207736307,25.694739270011233,714321.0885120011,15.70020644229561,-1,0.06663464740707394,0.9991946603153719,0.0,0.599516796189223,2.0,0.375,1.875,O6,de-protonated,,0.0,,C16 H30 O6,16.0,30.0,6.0,,,,,
432,1021,318.08341311710564,318.0830824853934,318.08305467614906,2089619.07102952,50.88245176928746,609913.5315133617,11.203651949077404,-1,0.08742761967581034,0.9986140422027636,0.0,0.5991684253216581,5.0,0.75,1.4166666666666667,N1 O9,de-protonated,,0.0,,C12 H17 O9 N1,12.0,17.0,9.0,1.0,,,,
433,1023,318.11979246950864,318.11946180071385,318.11944018549906,3082893.1106517175,142.9438474151009,574053.1556142066,16.578386141917107,-1,0.06794685285117331,0.9991626430544568,0.0,0.5994975858326741,4.0,0.6153846153846154,1.6153846153846154,N1 O8,de-protonated,,0.0,,C13 H21 O8 N1,13.0,21.0,8.0,1.0,,,,
434,1030,319.00988676276,319.0095551866666,319.0095553816491,4024189.084449378,96.3202972298961,713125.0511883391,21.88862901306586,-1,-0.0006112120251497533,0.9999999322143768,0.0,0.599999959328626,11.0,0.6428571428571429,0.5714285714285714,O9,de-protonated,,0.0,,C14 H8 O9,14.0,8.0,9.0,,,,,
435,1031,319.04627226400237,319.04594065082017,319.0459408909991,7337481.784104364,99.16024325869276,668919.0754448595,39.41929126676003,-1,-0.0007528035160895537,0.9999998971706516,0.0,0.599999938302391,10.0,0.5333333333333333,0.8,O8,de-protonated,,0.0,,C15 H12 O8,15.0,12.0,8.0,,,,,
436,1034,319.082660572621,319.0823289223472,319.0823264003491,7578890.738337108,98.91024213931546,678665.9619030226,41.77939920949281,-1,0.007903910382694848,0.9999886646383244,0.0,0.5999931987829946,9.0,0.4375,1.0,O7,de-protonated,,0.0,,C16 H16 O7,16.0,16.0,7.0,,,,,
437,1035,319.0859557757504,319.0856241221177,319.0856977036691,4813866.795438285,119.02174512312992,679111.4361602584,26.31245924990916,-1,-0.2306012207646645,0.9903975182865928,0.0,0.5942385109719557,4.0,0.5384615384615384,1.5384615384615385,S1 O7,de-protonated,,0.0,,C13 H20 O7 S1,13.0,20.0,7.0,,,1.0,,
438,1037,319.1038323276865,319.10350065583174,319.1034557684091,2254825.0560052497,81.36174055206844,602825.4781403963,12.077715181356927,-1,0.14066730341139813,0.9964160598782023,0.0,0.5978496359269213,4.0,0.6923076923076923,1.5384615384615385,O9,de-protonated,,0.0,,C13 H20 O9,13.0,20.0,9.0,,,,,
439,1039,319.1190627710014,319.11873108362175,319.1187119096991,5615468.159723752,267.83215407404134,641073.3975559055,30.225847536347462,-1,0.060083981180391294,0.9993451693518002,0.0,0.5996071016110801,8.0,0.35294117647058826,1.1764705882352942,O6,de-protonated,,0.0,,C17 H20 O6,17.0,20.0,6.0,,,,,
440,1041,319.14021111769114,319.1398794087544,319.1398412777591,2667728.9031025996,245.65179929574572,627078.2226968476,14.333539284759652,-1,0.1194805234155019,0.9974130638559545,0.0,0.5984478383135727,3.0,0.5714285714285714,1.7142857142857142,O8,de-protonated,,0.0,,C14 H24 O8,14.0,24.0,8.0,,,,,
441,1042,319.1554397956032,319.1551080711434,319.15509741904907,1851584.8589860229,85.87499342466482,652199.4651795956,9.950873721336109,-1,0.03337591786520657,0.9997978953182417,0.0,0.599878737190945,7.0,0.2777777777777778,1.3333333333333333,O5,de-protonated,,0.0,,C18 H24 O5,18.0,24.0,5.0,,,,,
442,1044,319.1765359429998,319.17620419703616,319.1762267871091,2405996.0220439094,83.74849839175616,656644.4447124114,13.073900278115064,-1,-0.07077617644675786,0.9990914880029644,0.0,0.5994548928017787,2.0,0.4666666666666667,1.8666666666666667,O7,de-protonated,,0.0,,C15 H28 O7,15.0,28.0,7.0,,,,,
443,1045,319.1951948196637,319.19486305468047,319.1948542317191,15053057.829420986,89.7606897898736,681728.463087218,80.88035033514005,-1,0.02764130204368475,0.9999123132113482,0.9978380920194903,0.999082624734605,1.0,0.25,2.0,S1 O4,de-protonated,,0.0,,C16 H32 O4 S1,16.0,32.0,4.0,,,1.0,,
444,1048,320.07790712144026,320.0775744566831,320.07757537254906,2017239.9847676342,140.87952647422748,584075.0299940858,10.88531180796461,-1,-0.0028613873948105106,0.9999985143831214,0.0,0.5999991086298728,9.0,0.4666666666666667,1.0,N1 O7,de-protonated,,0.0,,C15 H15 O7 N1,15.0,15.0,7.0,1.0,,,,
445,1049,320.09903560227025,320.0987029159762,320.0987047406091,3021227.04610278,62.47581952756282,683543.6804907174,16.394517267308856,-1,-0.005700219488524208,0.9999941042955374,0.0,0.5999964625773224,4.0,0.75,1.5833333333333333,N1 O9,de-protonated,,0.0,,C12 H19 O9 N1,12.0,19.0,9.0,1.0,,,,
446,1050,320.13544595141707,320.13511322800895,320.1350902499591,4405174.4635126265,62.81357075948828,659609.9537946997,23.935885437808476,-1,0.07177610501178233,0.999065647758487,0.0,0.5994393886550922,3.0,0.6153846153846154,1.7692307692307692,N1 O8,de-protonated,,0.0,,C13 H23 O8 N1,13.0,23.0,8.0,1.0,,,,
447,1051,320.1985372976256,320.19820450990665,320.1982090667891,2560288.565232253,41.15188444305404,760341.1603755917,13.905426681194172,-1,-0.014231442681110224,0.9999632511541373,0.9978380920194903,0.9991131875002786,1.0,0.25,2.0,13C1 S1 O4,de-protonated,,1.0,1045.0,C15 H32 O4 S1 13C1,15.0,32.0,4.0,,,1.0,1.0,
448,1052,320.24463122816155,320.24429839345777,320.2442467780091,11499364.867411017,135.46708590832148,671974.058140625,61.77994186837245,-1,0.16117525670626798,0.49764875743277315,0.8524773804394659,0.6395802066354502,0.0,0.3125,2.1875,N1 O5,de-protonated,,0.0,,C16 H35 O5 N1,16.0,35.0,5.0,1.0,,,,
